host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783771344078575360,2026-07-11T19:02:24.078+07:00,837086544489687243,223837,180947,201277,1371
1783771344096757178,2026-07-11T19:02:24.096+07:00,837086544489687243,223903,181051,201321,1362
1783771344114938996,2026-07-11T19:02:24.114+07:00,837086544489687243,224089,181281,201391,1323
1783771344133120814,2026-07-11T19:02:24.133+07:00,837086544489687243,224021,181302,201351,1279
1783771344151302632,2026-07-11T19:02:24.151+07:00,837086544489687243,223829,181181,201177,1338
1783771344169484450,2026-07-11T19:02:24.169+07:00,837086544489687243,223262,180796,200723,1350
1783771344187666268,2026-07-11T19:02:24.187+07:00,837086544489687243,222448,180101,199946,1328
1783771344205848086,2026-07-11T19:02:24.205+07:00,837086544489687243,221576,179386,199188,1336
1783771344224029904,2026-07-11T19:02:24.224+07:00,837086544489687243,220650,178639,198386,1315
1783771344242211722,2026-07-11T19:02:24.242+07:00,837086544489687243,220097,178027,197762,1281
1783771344260393540,2026-07-11T19:02:24.260+07:00,837086544489687243,219638,177693,197383,1321
1783771344278575358,2026-07-11T19:02:24.278+07:00,837086544489687243,219326,177416,197060,1353
1783771344296757176,2026-07-11T19:02:24.296+07:00,837086544489687243,219044,177213,196770,1288
1783771344314938994,2026-07-11T19:02:24.314+07:00,837086544489687243,218902,177065,196663,1348
1783771344333120812,2026-07-11T19:02:24.333+07:00,837086544489687243,218794,176857,196460,1293
1783771344351302630,2026-07-11T19:02:24.351+07:00,837086544489687243,218601,176620,196311,1331
1783771344369484448,2026-07-11T19:02:24.369+07:00,837086544489687243,218396,176462,196084,1331
1783771344387666266,2026-07-11T19:02:24.387+07:00,837086544489687243,218063,176130,195741,1267
1783771344405848084,2026-07-11T19:02:24.405+07:00,837086544489687243,217777,175848,195459,1325
1783771344424029902,2026-07-11T19:02:24.424+07:00,837086544489687243,217438,175541,195133,1277
1783771344442211720,2026-07-11T19:02:24.442+07:00,837086544489687243,217224,175343,194906,1257
1783771344460393538,2026-07-11T19:02:24.460+07:00,837086544489687243,216991,175140,194694,1282
1783771344478575356,2026-07-11T19:02:24.478+07:00,837086544489687243,216780,174968,194555,1309
1783771344496757174,2026-07-11T19:02:24.496+07:00,837086544489687243,216686,174869,194344,1361
1783771344514938992,2026-07-11T19:02:24.514+07:00,837086544489687243,216473,174706,194262,1314
1783771344533120810,2026-07-11T19:02:24.533+07:00,837086544489687243,216295,174535,194047,1344
1783771344551302628,2026-07-11T19:02:24.551+07:00,837086544489687243,216017,174237,193751,1307
1783771344569484446,2026-07-11T19:02:24.569+07:00,837086544489687243,215726,173930,193469,1282
1783771344587666264,2026-07-11T19:02:24.587+07:00,837086544489687243,215263,173487,193039,1256
