host_timestamp_ns,host_timestamp_iso,elapsed_s,red,infrared,background
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1150274,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1149987,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1150274,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1149987,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1150274,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1149987,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149700,1150274,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1150274,1150274,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1149987,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149700,1150274,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1149987,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149700,1150274,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1150274,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1150274,1149987,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1149987,0
1783265541878444800,2026-07-05T22:32:21.878+07:00,0.250,1149987,1150274,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149700,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1150274,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1150274,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1150274,1150274,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1150274,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1150274,1150274,0
1783265541918519600,2026-07-05T22:32:21.918+07:00,0.290,1149987,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1149987,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1149987,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1149987,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1149987,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1149987,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150561,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1149987,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1150274,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1149987,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1149987,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1149987,0
1783265541958402000,2026-07-05T22:32:21.958+07:00,0.330,1150274,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1149700,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1150274,1150561,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1150274,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1149987,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1149987,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1150274,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1150274,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1149987,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1150274,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1149987,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1149700,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1150274,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149987,1149987,0
1783265542002336000,2026-07-05T22:32:22.002+07:00,0.374,1149700,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1150274,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1150274,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1150274,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1150274,1150274,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1150274,1150274,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149700,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
1783265542048688800,2026-07-05T22:32:22.048+07:00,0.420,1149987,1149987,0
