host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783771280053276414,2026-07-11T19:01:20.053+07:00,837086480201853968,285441,237499,255031,1297
1783771280071458232,2026-07-11T19:01:20.071+07:00,837086480201853968,285554,237540,255128,1405
1783771280089640050,2026-07-11T19:01:20.089+07:00,837086480201853968,285501,237534,255120,1369
1783771280107821868,2026-07-11T19:01:20.107+07:00,837086480201853968,285547,237534,255242,1347
1783771280126003686,2026-07-11T19:01:20.126+07:00,837086480201853968,285629,237568,255320,1362
1783771280144185504,2026-07-11T19:01:20.144+07:00,837086480201853968,285568,237502,255286,1304
1783771280162367322,2026-07-11T19:01:20.162+07:00,837086480201853968,285578,237450,255372,1327
1783771280180549140,2026-07-11T19:01:20.180+07:00,837086480201853968,285526,237361,255302,1300
1783771280198730958,2026-07-11T19:01:20.198+07:00,837086480201853968,285469,237243,255212,1348
1783771280216912776,2026-07-11T19:01:20.216+07:00,837086480201853968,285414,237111,255174,1331
1783771280235094594,2026-07-11T19:01:20.235+07:00,837086480201853968,285292,236995,255129,1326
1783771280253276412,2026-07-11T19:01:20.253+07:00,837086480201853968,285184,236901,255074,1338
1783771280271458230,2026-07-11T19:01:20.271+07:00,837086480201853968,285193,236825,255122,1373
1783771280289640048,2026-07-11T19:01:20.289+07:00,837086480201853968,285163,236801,255135,1368
1783771280307821866,2026-07-11T19:01:20.307+07:00,837086480201853968,285151,236754,255112,1330
1783771280326003684,2026-07-11T19:01:20.326+07:00,837086480201853968,285172,236694,255208,1345
1783771280344185502,2026-07-11T19:01:20.344+07:00,837086480201853968,285243,236663,255289,1302
1783771280362367320,2026-07-11T19:01:20.362+07:00,837086480201853968,285195,236585,255382,1305
1783771280380549138,2026-07-11T19:01:20.380+07:00,837086480201853968,285250,236584,255427,1280
1783771280398730956,2026-07-11T19:01:20.398+07:00,837086480201853968,285275,236603,255515,1336
1783771280416912774,2026-07-11T19:01:20.416+07:00,837086480201853968,285324,236618,255633,1384
1783771280435094592,2026-07-11T19:01:20.435+07:00,837086480201853968,285337,236515,255639,1288
1783771280453276410,2026-07-11T19:01:20.453+07:00,837086480201853968,285307,236483,255694,1333
1783771280471458228,2026-07-11T19:01:20.471+07:00,837086480201853968,285442,236501,255806,1328
1783771280489640046,2026-07-11T19:01:20.489+07:00,837086480201853968,285426,236444,255802,1314
1783771280507821864,2026-07-11T19:01:20.507+07:00,837086480201853968,285496,236544,255940,1335
1783771280526003682,2026-07-11T19:01:20.526+07:00,837086480201853968,285559,236569,256000,1325
1783771280544185500,2026-07-11T19:01:20.544+07:00,837086480201853968,285614,236630,256138,1360
1783771280562367318,2026-07-11T19:01:20.562+07:00,837086480201853968,285663,236696,256265,1319
1783771280580549136,2026-07-11T19:01:20.580+07:00,837086480201853968,285661,236818,256378,1358
1783771280598730954,2026-07-11T19:01:20.598+07:00,837086480201853968,285664,236720,256360,1355
1783771280616912772,2026-07-11T19:01:20.616+07:00,837086480201853968,285607,236766,256377,1304
1783771280635094590,2026-07-11T19:01:20.635+07:00,837086480201853968,285531,236698,256320,1317
1783771280653276408,2026-07-11T19:01:20.653+07:00,837086480201853968,285563,236640,256301,1330
1783771280671458226,2026-07-11T19:01:20.671+07:00,837086480201853968,285491,236633,256245,1331
1783771280689640044,2026-07-11T19:01:20.689+07:00,837086480201853968,285423,236576,256159,1298
1783771280707821862,2026-07-11T19:01:20.707+07:00,837086480201853968,285427,236605,256196,1313
1783771280726003680,2026-07-11T19:01:20.726+07:00,837086480201853968,285444,236625,256253,1303
1783771280744185498,2026-07-11T19:01:20.744+07:00,837086480201853968,285424,236657,256248,1355
1783771280762367316,2026-07-11T19:01:20.762+07:00,837086480201853968,285481,236702,256314,1339
1783771280780549134,2026-07-11T19:01:20.780+07:00,837086480201853968,285514,236841,256353,1366
1783771280798730952,2026-07-11T19:01:20.798+07:00,837086480201853968,285537,236848,256381,1322
1783771280816912770,2026-07-11T19:01:20.816+07:00,837086480966067412,285525,236927,256461,1270
1783771280835094588,2026-07-11T19:01:20.835+07:00,837086480966067412,285644,237045,256583,1403
1783771280853276406,2026-07-11T19:01:20.853+07:00,837086480966067412,285707,237170,256731,1368
