Model,Evaluation,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean Specificity,Std Specificity,Mean F1,Std F1,Mean ROC-AUC,Std ROC-AUC
SVM,SubjectSpecific,0.9166666666666666,0.01030982623552906,0.8845245194082403,0.047304389967849796,0.9189605377248397,0.012136020247448897,0.9189605377248397,0.012136020247448897,0.8977818416942936,0.03280444055746206,0.9687903798887781,0.011556542857505974
RandomForest,SubjectSpecific,0.8869047619047619,0.020619652471058052,0.9059776303179952,0.031186488747268943,0.7979232268705952,0.13336638699805767,0.7979232268705952,0.13336638699805767,0.8183493591620735,0.11065885662625785,0.9782132775267787,0.008174863790518289
MLP,SubjectSpecific,0.75,0.08183170883849715,0.5643980233602875,0.18954070416803584,0.5872394661868346,0.14983885195045818,0.5872394661868346,0.14983885195045818,0.5519686543466268,0.18167592007507113,0.6694514528610638,0.17360705410382365
SVM,LOSOCV,0.5630952380952381,0.11079106400764266,0.5346898817125006,0.12293250482994368,0.48417051241704895,0.14317304632728733,0.48417051241704895,0.14317304632728733,0.4701885715131069,0.11270692490778314,0.49358978571757167,0.14437616685154178
RandomForest,LOSOCV,0.4035714285714285,0.07634842259439983,0.5510342394679181,0.16801418130308132,0.45346796702835807,0.10089333320253384,0.45346796702835807,0.10089333320253384,0.34676186790779706,0.06944196066827761,0.4531381273775752,0.15613923863672596
MLP,LOSOCV,0.5011904761904762,0.15404136294060317,0.4311394337476764,0.19033672313034328,0.504873433444862,0.08132203212395026,0.504873433444862,0.08132203212395026,0.41793888570226984,0.15094314734668265,0.5705587180110764,0.11114420895342214
