Fold,Held-out Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
1,arthur,SVM,0.6714285714285714,0.5906023800760642,0.5429385429385429,0.5429385429385429,0.5235276709085528,0.5646258503401361
1,arthur,RandomForest,0.42857142857142855,0.5233189092657463,0.5197395197395197,0.5197395197395197,0.4250218183684994,0.6063143206000349
1,arthur,MLP,0.6714285714285714,0.6089445438282648,0.5885225885225885,0.5885225885225885,0.5912668189895913,0.6024768881911738
2,bowo,SVM,0.5678571428571428,0.6197280799112097,0.5886082447764258,0.5886082447764258,0.5463249373987332,0.5886852507828944
2,bowo,RandomForest,0.4642857142857143,0.7311827956989247,0.5033112582781457,0.5033112582781457,0.32275541795665635,0.4589044612146414
2,bowo,MLP,0.4607142857142857,0.23035714285714284,0.5,0.5,0.3154034229828851,0.662251655629139
3,doni,SVM,0.45,0.3937391851502281,0.3209647495361781,0.3209647495361781,0.34071310623203477,0.3274582560296846
3,doni,RandomForest,0.31785714285714284,0.3986010134390835,0.3373531230674088,0.3373531230674088,0.29250836739823527,0.2941956003180493
3,doni,MLP,0.37142857142857144,0.45411661455762165,0.4260977118119975,0.4260977118119975,0.3471464151343331,0.44694761021291635
