accuracy,precision,recall,specificity,f1,roc_auc,subject,model,n_test
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.5808695652173913,andi,CNN,140
0.8071428571428572,0.40942028985507245,0.49130434782608695,0.49130434782608695,0.44664031620553357,0.4626086956521739,andi,CNNLSTM,140
0.4,0.4766861852092822,0.46260869565217394,0.46260869565217394,0.375,0.4184347826086956,andi,GRU,140
0.4357142857142857,0.21785714285714286,0.5,0.5,0.3034825870646766,0.8427059555924467,arthur,CNN,140
0.5,0.5998260113092648,0.5476239883793318,0.5476239883793318,0.45054945054945056,0.6196306287611537,arthur,CNNLSTM,140
0.42857142857142855,0.3819951338199513,0.4899356713010998,0.4899356713010998,0.3101749199310175,0.4233243411496161,arthur,GRU,140
0.5,0.5606060606060606,0.5416666666666667,0.5416666666666667,0.47593582887700536,0.51625,auzan,CNN,140
0.5285714285714286,0.4855324074074074,0.4895833333333333,0.4895833333333333,0.46577243293246995,0.46249999999999997,auzan,CNNLSTM,140
0.5071428571428571,0.5123076923076924,0.5125,0.5125,0.5065134099616858,0.4691666666666667,auzan,GRU,140
0.4357142857142857,0.21785714285714286,0.5,0.5,0.3034825870646766,0.7003527702842913,bowo,CNN,140
0.45714285714285713,0.6222222222222222,0.5171197343847271,0.5171197343847271,0.35374149659863946,0.5040464826727538,bowo,CNNLSTM,140
0.4357142857142857,0.21785714285714286,0.5,0.5,0.3034825870646766,0.4442830462751608,bowo,GRU,140
0.7163120567375887,0.35815602836879434,0.5,0.5,0.41735537190082644,0.31905940594059407,daffa,CNN,141
0.375886524822695,0.5049261083743842,0.503960396039604,0.503960396039604,0.3720647773279352,0.40792079207920795,daffa,CNNLSTM,141
0.40425531914893614,0.4493657505285412,0.4407178217821782,0.4407178217821782,0.39743589743589747,0.3839108910891089,daffa,GRU,141
0.17142857142857143,0.08571428571428572,0.5,0.5,0.14634146341463414,0.2948994252873563,doni,CNN,140
0.22857142857142856,0.47619047619047616,0.4849137931034483,0.4849137931034483,0.22461538461538463,0.32327586206896547,doni,CNNLSTM,140
0.17142857142857143,0.08571428571428572,0.5,0.5,0.14634146341463414,0.6889367816091954,doni,GRU,140
