host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783334793150283000,2026-07-06T17:46:33.150+07:00,540196372276890479,173398,130328,135346,1308
1783334793168464818,2026-07-06T17:46:33.168+07:00,540196372276890479,173432,130388,135373,1308
1783334793186646636,2026-07-06T17:46:33.186+07:00,540196372276890479,173488,130414,135416,1335
1783334793204828454,2026-07-06T17:46:33.204+07:00,540196372276890479,173537,130386,135498,1315
1783334793223010272,2026-07-06T17:46:33.223+07:00,540196372276890479,173556,130490,135510,1316
1783334793241192090,2026-07-06T17:46:33.241+07:00,540196372276890479,173468,130459,135501,1371
1783334793259373908,2026-07-06T17:46:33.259+07:00,540196372276890479,173436,130437,135489,1370
1783334793277555726,2026-07-06T17:46:33.277+07:00,540196372276890479,173368,130364,135379,1306
1783334793295737544,2026-07-06T17:46:33.295+07:00,540196372276890479,173360,130366,135359,1342
1783334793313919362,2026-07-06T17:46:33.313+07:00,540196372276890479,173325,130359,135333,1370
1783334793332101180,2026-07-06T17:46:33.332+07:00,540196372276890479,173282,130278,135255,1306
1783334793350282998,2026-07-06T17:46:33.350+07:00,540196372276890479,173195,130316,135300,1365
1783334793368464816,2026-07-06T17:46:33.368+07:00,540196372276890479,173178,130234,135300,1341
1783334793386646634,2026-07-06T17:46:33.386+07:00,540196372276890479,173113,130139,135254,1267
1783334793404828452,2026-07-06T17:46:33.404+07:00,540196372276890479,173041,130178,135227,1337
1783334793423010270,2026-07-06T17:46:33.423+07:00,540196372276890479,173019,130161,135127,1254
1783334793441192088,2026-07-06T17:46:33.441+07:00,540196372276890479,172994,130110,135121,1272
1783334793459373906,2026-07-06T17:46:33.459+07:00,540196372276890479,172951,130076,135159,1314
1783334793477555724,2026-07-06T17:46:33.477+07:00,540196372276890479,172936,130072,135132,1272
1783334793495737542,2026-07-06T17:46:33.495+07:00,540196372276890479,172899,130141,135187,1360
1783334793513919360,2026-07-06T17:46:33.513+07:00,540196372276890479,172933,130135,135224,1365
1783334793532101178,2026-07-06T17:46:33.532+07:00,540196372276890479,172887,130073,135170,1246
1783334793550282996,2026-07-06T17:46:33.550+07:00,540196372276890479,172912,130073,135220,1337
1783334793568464814,2026-07-06T17:46:33.568+07:00,540196372276890479,172873,130099,135198,1309
1783334793586646632,2026-07-06T17:46:33.586+07:00,540196372276890479,172900,130118,135280,1326
1783334793604828450,2026-07-06T17:46:33.604+07:00,540196372276890479,172849,130091,135289,1307
1783334793623010268,2026-07-06T17:46:33.623+07:00,540196372276890479,172884,130180,135310,1274
1783334793641192086,2026-07-06T17:46:33.641+07:00,540196372276890479,172908,130152,135312,1315
1783334793659373904,2026-07-06T17:46:33.659+07:00,540196372276890479,172875,130119,135302,1269
1783334793677555722,2026-07-06T17:46:33.677+07:00,540196372276890479,172923,130160,135367,1298
1783334793695737540,2026-07-06T17:46:33.695+07:00,540196372276890479,172891,130108,135375,1314
1783334793713919358,2026-07-06T17:46:33.713+07:00,540196372276890479,172891,130203,135410,1257
1783334793732101176,2026-07-06T17:46:33.732+07:00,540196372276890479,172956,130197,135452,1335
1783334793750282994,2026-07-06T17:46:33.750+07:00,540196372276890479,172940,130182,135463,1288
1783334793768464812,2026-07-06T17:46:33.768+07:00,540196373150419405,172998,130273,135535,1288
1783334793786646630,2026-07-06T17:46:33.786+07:00,540196373150419405,173031,130270,135549,1311
1783334793804828448,2026-07-06T17:46:33.804+07:00,540196373150419405,173066,130216,135557,1306
1783334793823010266,2026-07-06T17:46:33.823+07:00,540196373150419405,173068,130307,135570,1259
1783334793841192084,2026-07-06T17:46:33.841+07:00,540196373150419405,173105,130380,135646,1293
1783334793859373902,2026-07-06T17:46:33.859+07:00,540196373150419405,173130,130367,135653,1243
1783334793877555720,2026-07-06T17:46:33.877+07:00,540196373150419405,173193,130415,135675,1236
1783334793895737538,2026-07-06T17:46:33.895+07:00,540196373150419405,173161,130430,135743,1205
1783334793913919356,2026-07-06T17:46:33.913+07:00,540196373150419405,173245,130409,135794,1292
1783334793932101174,2026-07-06T17:46:33.932+07:00,540196373150419405,173269,130512,135877,1341
1783334793950282992,2026-07-06T17:46:33.950+07:00,540196373150419405,173273,130525,135900,1342
1783334793968464810,2026-07-06T17:46:33.968+07:00,540196373150419405,173301,130557,135893,1221
1783334793986646628,2026-07-06T17:46:33.986+07:00,540196373150419405,173381,130564,135967,1289
1783334794004828446,2026-07-06T17:46:34.004+07:00,540196373150419405,173427,130609,136033,1276
1783334794023010264,2026-07-06T17:46:34.023+07:00,540196373150419405,173445,130713,136091,1319
1783334794041192082,2026-07-06T17:46:34.041+07:00,540196373150419405,173492,130708,136148,1306
1783334794059373900,2026-07-06T17:46:34.059+07:00,540196373150419405,173518,130684,136125,1300
1783334794077555718,2026-07-06T17:46:34.077+07:00,540196373150419405,173530,130815,136222,1304
1783334794095737536,2026-07-06T17:46:34.095+07:00,540196373150419405,173587,130846,136259,1365
1783334794113919354,2026-07-06T17:46:34.113+07:00,540196373150419405,173649,130865,136282,1311
1783334794132101172,2026-07-06T17:46:34.132+07:00,540196373150419405,173717,130897,136301,1324
1783334794150282990,2026-07-06T17:46:34.150+07:00,540196373150419405,173744,130856,136332,1319
1783334794168464808,2026-07-06T17:46:34.168+07:00,540196373150419405,173789,130920,136408,1297
1783334794186646626,2026-07-06T17:46:34.186+07:00,540196373150419405,173837,130994,136482,1260
1783334794204828444,2026-07-06T17:46:34.204+07:00,540196373150419405,173895,131103,136528,1317
1783334794223010262,2026-07-06T17:46:34.223+07:00,540196373150419405,173952,131136,136593,1366
1783334794241192080,2026-07-06T17:46:34.241+07:00,540196373150419405,173937,131210,136623,1336
1783334794259373898,2026-07-06T17:46:34.259+07:00,540196373150419405,173976,131212,136644,1334
1783334794277555716,2026-07-06T17:46:34.277+07:00,540196373150419405,174007,131199,136657,1327
1783334794295737534,2026-07-06T17:46:34.295+07:00,540196373150419405,174009,131202,136696,1362
1783334794313919352,2026-07-06T17:46:34.313+07:00,540196373150419405,173966,131128,136624,1288
1783334794332101170,2026-07-06T17:46:34.332+07:00,540196373150419405,173905,131127,136646,1305
1783334794350282988,2026-07-06T17:46:34.350+07:00,540196373150419405,173912,131131,136558,1319
1783334794368464806,2026-07-06T17:46:34.368+07:00,540196373150419405,173892,131077,136542,1327
1783334794386646624,2026-07-06T17:46:34.386+07:00,540196373150419405,173843,131051,136574,1258
1783334794404828442,2026-07-06T17:46:34.404+07:00,540196373150419405,173858,131072,136619,1305
1783334794423010260,2026-07-06T17:46:34.423+07:00,540196373150419405,173852,131118,136638,1358
1783334794441192078,2026-07-06T17:46:34.441+07:00,540196373150419405,173853,131079,136660,1354
1783334794459373896,2026-07-06T17:46:34.459+07:00,540196373150419405,173845,131060,136581,1289
1783334794477555714,2026-07-06T17:46:34.477+07:00,540196373150419405,173825,131020,136634,1298
1783334794495737532,2026-07-06T17:46:34.495+07:00,540196373150419405,173828,131016,136609,1316
1783334794513919350,2026-07-06T17:46:34.513+07:00,540196373150419405,173864,131108,136725,1354
1783334794532101168,2026-07-06T17:46:34.532+07:00,540196373150419405,173856,131129,136689,1335
1783334794550282986,2026-07-06T17:46:34.550+07:00,540196373150419405,173841,131091,136749,1265
1783334794568464804,2026-07-06T17:46:34.568+07:00,540196373150419405,173879,131163,136763,1313
1783334794586646622,2026-07-06T17:46:34.586+07:00,540196373150419405,173868,131173,136740,1324
1783334794604828440,2026-07-06T17:46:34.604+07:00,540196373150419405,173950,131229,136814,1285
1783334794623010258,2026-07-06T17:46:34.623+07:00,540196373150419405,173933,131222,136883,1272
1783334794641192076,2026-07-06T17:46:34.641+07:00,540196374096729175,173947,131186,136915,1267
1783334794659373894,2026-07-06T17:46:34.659+07:00,540196374096729175,174026,131233,136972,1306
1783334794677555712,2026-07-06T17:46:34.677+07:00,540196374096729175,174011,131257,136999,1377
1783334794695737530,2026-07-06T17:46:34.695+07:00,540196374096729175,174037,131350,137054,1339
1783334794713919348,2026-07-06T17:46:34.713+07:00,540196374096729175,174055,131364,137068,1315
1783334794732101166,2026-07-06T17:46:34.732+07:00,540196374096729175,174133,131411,137154,1288
1783334794750282984,2026-07-06T17:46:34.750+07:00,540196374096729175,174221,131494,137242,1322
1783334794768464802,2026-07-06T17:46:34.768+07:00,540196374096729175,174187,131463,137194,1297
1783334794786646620,2026-07-06T17:46:34.786+07:00,540196374096729175,174288,131518,137254,1322
1783334794804828438,2026-07-06T17:46:34.804+07:00,540196374096729175,174253,131515,137263,1307
1783334794823010256,2026-07-06T17:46:34.823+07:00,540196374096729175,174330,131558,137339,1350
1783334794841192074,2026-07-06T17:46:34.841+07:00,540196374096729175,174412,131656,137431,1399
1783334794859373892,2026-07-06T17:46:34.859+07:00,540196374096729175,174422,131647,137429,1317
1783334794877555710,2026-07-06T17:46:34.877+07:00,540196374096729175,174417,131684,137508,1343
1783334794895737528,2026-07-06T17:46:34.895+07:00,540196374096729175,174465,131727,137565,1297
1783334794913919346,2026-07-06T17:46:34.913+07:00,540196374096729175,174540,131764,137636,1306
1783334794932101164,2026-07-06T17:46:34.932+07:00,540196374096729175,174591,131779,137626,1318
1783334794950282982,2026-07-06T17:46:34.950+07:00,540196374096729175,174609,131881,137692,1286
1783334794968464800,2026-07-06T17:46:34.968+07:00,540196374096729175,174635,131848,137749,1297
1783334794986646618,2026-07-06T17:46:34.986+07:00,540196374096729175,174746,131933,137792,1320
1783334795004828436,2026-07-06T17:46:35.004+07:00,540196374096729175,174762,131976,137855,1344
1783334795023010254,2026-07-06T17:46:35.023+07:00,540196374096729175,174842,132030,137972,1333
1783334795041192072,2026-07-06T17:46:35.041+07:00,540196374096729175,174898,132019,138057,1349
1783334795059373890,2026-07-06T17:46:35.059+07:00,540196374096729175,174916,132081,138033,1348
1783334795077555708,2026-07-06T17:46:35.077+07:00,540196374096729175,174905,132114,138066,1281
1783334795095737526,2026-07-06T17:46:35.095+07:00,540196374096729175,174975,132149,138160,1332
1783334795113919344,2026-07-06T17:46:35.113+07:00,540196374096729175,175100,132222,138194,1319
1783334795132101162,2026-07-06T17:46:35.132+07:00,540196374096729175,175114,132190,138196,1302
1783334795150282980,2026-07-06T17:46:35.150+07:00,540196374096729175,175149,132247,138295,1307
1783334795168464798,2026-07-06T17:46:35.168+07:00,540196374096729175,175198,132321,138332,1293
1783334795186646616,2026-07-06T17:46:35.186+07:00,540196374096729175,175227,132432,138446,1255
1783334795204828434,2026-07-06T17:46:35.204+07:00,540196374096729175,175297,132454,138488,1353
1783334795223010252,2026-07-06T17:46:35.223+07:00,540196374096729175,175318,132445,138517,1344
1783334795241192070,2026-07-06T17:46:35.241+07:00,540196374096729175,175373,132494,138602,1292
1783334795259373888,2026-07-06T17:46:35.259+07:00,540196374096729175,175494,132599,138699,1389
1783334795277555706,2026-07-06T17:46:35.277+07:00,540196374096729175,175511,132603,138709,1292
1783334795295737524,2026-07-06T17:46:35.295+07:00,540196374096729175,175578,132650,138794,1276
1783334795313919342,2026-07-06T17:46:35.313+07:00,540196374096729175,175516,132649,138746,1370
1783334795332101160,2026-07-06T17:46:35.332+07:00,540196374096729175,175495,132593,138736,1303
1783334795350282978,2026-07-06T17:46:35.350+07:00,540196374096729175,175544,132700,138754,1337
1783334795368464796,2026-07-06T17:46:35.368+07:00,540196374096729175,175507,132637,138721,1300
1783334795386646614,2026-07-06T17:46:35.386+07:00,540196374096729175,175547,132684,138762,1372
1783334795404828432,2026-07-06T17:46:35.404+07:00,540196374096729175,175495,132613,138766,1271
1783334795423010250,2026-07-06T17:46:35.423+07:00,540196374096729175,175577,132663,138790,1320
1783334795441192068,2026-07-06T17:46:35.441+07:00,540196374096729175,175532,132661,138822,1262
1783334795459373886,2026-07-06T17:46:35.459+07:00,540196374096729175,175519,132680,138869,1303
1783334795477555704,2026-07-06T17:46:35.477+07:00,540196374096729175,175535,132681,138879,1221
1783334795495737522,2026-07-06T17:46:35.495+07:00,540196374096729175,175618,132655,138879,1267
1783334795513919340,2026-07-06T17:46:35.513+07:00,540196374096729175,175641,132730,138967,1309
1783334795532101158,2026-07-06T17:46:35.532+07:00,540196374096729175,175585,132720,138939,1281
1783334795550282976,2026-07-06T17:46:35.550+07:00,540196374096729175,175654,132781,139053,1279
1783334795568464794,2026-07-06T17:46:35.568+07:00,540196374096729175,175757,132862,139163,1304
1783334795586646612,2026-07-06T17:46:35.586+07:00,540196374861050957,175770,132849,139195,1330
1783334795604828430,2026-07-06T17:46:35.604+07:00,540196374861050957,175775,132906,139214,1327
1783334795623010248,2026-07-06T17:46:35.623+07:00,540196374861050957,175815,132923,139279,1337
1783334795641192066,2026-07-06T17:46:35.641+07:00,540196374861050957,175889,132993,139367,1321
1783334795659373884,2026-07-06T17:46:35.659+07:00,540196374861050957,175853,132937,139405,1308
1783334795677555702,2026-07-06T17:46:35.677+07:00,540196374861050957,175959,133024,139423,1319
1783334795695737520,2026-07-06T17:46:35.695+07:00,540196374861050957,175916,133089,139487,1289
1783334795713919338,2026-07-06T17:46:35.713+07:00,540196374861050957,175909,133003,139497,1260
1783334795732101156,2026-07-06T17:46:35.732+07:00,540196374861050957,175975,133095,139625,1315
1783334795750282974,2026-07-06T17:46:35.750+07:00,540196374861050957,175969,133087,139590,1273
1783334795768464792,2026-07-06T17:46:35.768+07:00,540196374861050957,176081,133177,139681,1299
1783334795786646610,2026-07-06T17:46:35.786+07:00,540196374861050957,176104,133216,139684,1307
1783334795804828428,2026-07-06T17:46:35.804+07:00,540196374861050957,176160,133211,139726,1333
1783334795823010246,2026-07-06T17:46:35.823+07:00,540196374861050957,176163,133311,139825,1323
1783334795841192064,2026-07-06T17:46:35.841+07:00,540196374861050957,176240,133367,139858,1373
1783334795859373882,2026-07-06T17:46:35.859+07:00,540196374861050957,176260,133327,139901,1319
1783334795877555700,2026-07-06T17:46:35.877+07:00,540196374861050957,176290,133396,139961,1335
1783334795895737518,2026-07-06T17:46:35.895+07:00,540196374861050957,176263,133388,139936,1273
1783334795913919336,2026-07-06T17:46:35.913+07:00,540196374861050957,176292,133472,140027,1294
1783334795932101154,2026-07-06T17:46:35.932+07:00,540196374861050957,176360,133487,140096,1275
1783334795950282972,2026-07-06T17:46:35.950+07:00,540196374861050957,176397,133560,140163,1328
1783334795968464790,2026-07-06T17:46:35.968+07:00,540196374861050957,176463,133578,140174,1333
1783334795986646608,2026-07-06T17:46:35.986+07:00,540196374861050957,176579,133629,140271,1372
1783334796004828426,2026-07-06T17:46:36.004+07:00,540196374861050957,176579,133659,140304,1335
1783334796023010244,2026-07-06T17:46:36.023+07:00,540196374861050957,176602,133702,140325,1318
1783334796041192062,2026-07-06T17:46:36.041+07:00,540196374861050957,176620,133761,140322,1317
1783334796059373880,2026-07-06T17:46:36.059+07:00,540196374861050957,176733,133804,140420,1273
1783334796077555698,2026-07-06T17:46:36.077+07:00,540196374861050957,176790,133817,140515,1348
1783334796095737516,2026-07-06T17:46:36.095+07:00,540196374861050957,176795,133838,140528,1317
1783334796113919334,2026-07-06T17:46:36.113+07:00,540196374861050957,176850,133890,140613,1309
1783334796132101152,2026-07-06T17:46:36.132+07:00,540196374861050957,176962,133917,140681,1308
1783334796150282970,2026-07-06T17:46:36.150+07:00,540196374861050957,177000,134010,140785,1325
1783334796168464788,2026-07-06T17:46:36.168+07:00,540196374861050957,176987,134048,140774,1336
1783334796186646606,2026-07-06T17:46:36.186+07:00,540196374861050957,177008,134046,140814,1291
1783334796204828424,2026-07-06T17:46:36.204+07:00,540196374861050957,177086,134103,140869,1336
1783334796223010242,2026-07-06T17:46:36.223+07:00,540196374861050957,177100,134165,140839,1305
1783334796241192060,2026-07-06T17:46:36.241+07:00,540196374861050957,177209,134218,140998,1344
1783334796259373878,2026-07-06T17:46:36.259+07:00,540196374861050957,177250,134250,141024,1357
1783334796277555696,2026-07-06T17:46:36.277+07:00,540196374861050957,177330,134292,141056,1270
1783334796295737514,2026-07-06T17:46:36.295+07:00,540196374861050957,177372,134364,141163,1362
1783334796313919332,2026-07-06T17:46:36.313+07:00,540196374861050957,177412,134363,141202,1357
1783334796332101150,2026-07-06T17:46:36.332+07:00,540196374861050957,177365,134385,141197,1361
1783334796350282968,2026-07-06T17:46:36.350+07:00,540196375807401933,177417,134375,141196,1326
1783334796368464786,2026-07-06T17:46:36.368+07:00,540196375807401933,177393,134338,141187,1358
1783334796386646604,2026-07-06T17:46:36.386+07:00,540196375807401933,177359,134372,141198,1349
