Model,Evaluation,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean Specificity,Std Specificity,Mean F1,Std F1,Mean ROC-AUC,Std ROC-AUC
SVM,SubjectSpecific,0.9051724137931035,0.0773100880693766,0.8960202991452992,0.08029690041291472,0.8856625258799172,0.09960258080083347,0.8856625258799172,0.09960258080083347,0.8850713827245227,0.08947257852387089,0.9514363354037267,0.050474683357200824
RandomForest,SubjectSpecific,0.916871921182266,0.04352538035149621,0.9102983835336778,0.07064551862565602,0.8542141131815045,0.13237232333570145,0.8542141131815045,0.13237232333570145,0.8666935347191953,0.1089132266669219,0.9285811335403727,0.0958129798066416
MLP,SubjectSpecific,0.8637110016420362,0.09451091217805314,0.81237234987235,0.21294402997540318,0.7731646825396826,0.18353714867637963,0.7731646825396826,0.18353714867637963,0.7676054317363472,0.19109326755685282,0.8867990855762594,0.13757304652914765
SVM,LOSOCV,0.49235055724417426,0.22496735528058576,0.5343567890784713,0.2295396510229121,0.5450346164862735,0.09543205266935269,0.5450346164862735,0.09543205266935269,0.436399846506576,0.18801402855835575,0.5768832865120039,0.20706192966888412
RandomForest,LOSOCV,0.4793144208037825,0.24602142750900236,0.4848498088704791,0.2593774664210614,0.5169961218532334,0.10979872458469542,0.5169961218532334,0.10979872458469542,0.4108340756845921,0.20022242510049026,0.5541851339526719,0.2029654902452576
MLP,LOSOCV,0.5042384329618372,0.18045057574522894,0.5605960787244277,0.08626397539520501,0.5635634555788837,0.12178390398539748,0.5635634555788837,0.12178390398539748,0.48155517559344024,0.17444143450495014,0.5885332139002402,0.2028375799510062
