model,evaluation,n_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
CNN,SubjectSpecific,6,0.597516339869281,0.18644915101891307,0.4307744575983772,0.2756250175527572,0.5097350314741619,0.16817382705245168,0.7782399928887274,0.10534608186871154,0.4297448438747895,0.21616030112772372,0.8391997553012525,0.08899304481166798
CNN,LOSOCV,6,0.4294656084656085,0.02680036338593579,0.2210909154341902,0.13942430995724586,0.34114703701303845,0.0343308012962471,0.6728187739643,0.0175872651948774,0.22510231049719023,0.05253009656774494,0.6184111838421028,0.14723948385082333
CNNLSTM,SubjectSpecific,6,0.5116993464052287,0.13511096820041413,0.33881552985958024,0.24691971726251957,0.4081915166154297,0.14651866747496142,0.7141283497825549,0.08934835970976786,0.31407896078043396,0.18095617193149757,0.6018428345500101,0.14954365289359253
CNNLSTM,LOSOCV,6,0.4107460317460318,0.07189083224687905,0.14733828298344429,0.0015686411737949576,0.32196969696969696,0.027835110713445202,0.6623081914489918,0.01067604033986909,0.2006338324234265,0.00759484167081752,0.5092843937310434,0.06768834578825514
GRU,SubjectSpecific,6,0.4583660130718954,0.09807729979250683,0.2984070074390564,0.1005764676024436,0.3580021226760357,0.06977374458384407,0.6861144738764944,0.05567275085441657,0.30707658972283736,0.09454482011368666,0.5608704541583694,0.12279646262924128
GRU,LOSOCV,6,0.4387460317460317,0.0033103516150963003,0.14644222563577403,0.000630731407579385,0.3323232323232323,0.002474232063417345,0.6660787771898882,0.001440029243258776,0.203298147093644,0.001070135947297378,0.4773803826456506,0.026966579604358956
