accuracy,precision,recall,specificity,f1,roc_auc,subject,model,n_test
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.4347826086956522,andi,CNN,28
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.2347826086956522,andi,CNNLSTM,28
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.391304347826087,andi,GRU,28
0.7857142857142857,0.78125,0.78125,0.78125,0.78125,0.921875,arthur,CNN,28
0.5714285714285714,0.5384615384615384,0.5104166666666666,0.5104166666666666,0.4285714285714286,0.6822916666666667,arthur,CNNLSTM,28
0.5357142857142857,0.2777777777777778,0.46875,0.46875,0.3488372093023256,0.5572916666666667,arthur,GRU,28
0.8571428571428571,0.9,0.8333333333333333,0.8333333333333333,0.8444444444444444,0.96875,auzan,CNN,28
0.5357142857142857,0.2777777777777778,0.46875,0.46875,0.3488372093023256,0.53125,auzan,CNNLSTM,28
0.5,0.2692307692307692,0.4375,0.4375,0.3333333333333333,0.40625000000000006,auzan,GRU,28
0.7857142857142857,0.8333333333333333,0.8125,0.8125,0.7846153846153847,1.0,bowo,CNN,28
0.7142857142857143,0.8,0.75,0.75,0.7083333333333333,0.9479166666666667,bowo,CNNLSTM,28
0.5714285714285714,0.55,0.5416666666666666,0.5416666666666666,0.5333333333333333,0.6145833333333334,bowo,GRU,28
0.7241379310344828,0.3620689655172414,0.5,0.5,0.42,0.8035714285714285,daffa,CNN,29
0.7241379310344828,0.3620689655172414,0.5,0.5,0.42,0.6309523809523809,daffa,CNNLSTM,29
0.7241379310344828,0.3620689655172414,0.5,0.5,0.42,0.5892857142857143,daffa,GRU,29
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,1.0,doni,CNN,28
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.5826086956521739,doni,CNNLSTM,28
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.5217391304347826,doni,GRU,28
