Fold,Held-out Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
1,adel,SVM,0.8428571428571429,0.7819548872180451,0.591304347826087,0.591304347826087,0.6118951612903225,0.8212173913043479
1,adel,RandomForest,0.8285714285714286,0.7493917274939172,0.5356521739130435,0.5356521739130435,0.5238095238095238,0.8615652173913044
1,adel,MLP,0.8357142857142857,0.7941176470588236,0.5556521739130436,0.5556521739130436,0.5576315427943399,0.824695652173913
2,adit,SVM,0.24633431085043989,0.3900964495387196,0.4211779448621554,0.4211779448621554,0.2419272522814757,0.363734335839599
2,adit,RandomForest,0.2873900293255132,0.4007376233143271,0.3900501253132832,0.3900501253132832,0.28650645358499016,0.6185213032581454
2,adit,MLP,0.8357771260997068,0.8225806451612903,0.6553884711779449,0.6553884711779449,0.6872379454926625,0.4595739348370927
3,arthur,SVM,0.6535714285714286,0.5847493627867459,0.5695970695970696,0.5695970695970696,0.5707354080068278,0.5915750915750915
3,arthur,RandomForest,0.5321428571428571,0.5448717948717948,0.5508750508750508,0.5508750508750508,0.522886614029839,0.5820687249258678
3,arthur,MLP,0.6464285714285715,0.5469187675070029,0.5272690272690272,0.5272690272690272,0.5118944903241711,0.5262515262515263
4,auzan,SVM,0.5428571428571428,0.5954592363261094,0.5770833333333334,0.5770833333333334,0.5312826951245031,0.6223958333333334
4,auzan,RandomForest,0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.671875
4,auzan,MLP,0.5928571428571429,0.5836995187277674,0.5833333333333334,0.5833333333333334,0.5834855681402996,0.6302083333333334
5,bowo,SVM,0.5285714285714286,0.5186673363468943,0.5171723394424765,0.5171723394424765,0.5117311350665821,0.5258996868422404
5,bowo,RandomForest,0.55,0.5491807462610383,0.5494635248216027,0.5494635248216027,0.5488721804511278,0.5658914728682171
5,bowo,MLP,0.5642857142857143,0.5607741935483871,0.5604497150777761,0.5604497150777761,0.5604961144562812,0.5741567842291698
6,daffa,SVM,0.2765957446808511,0.1392857142857143,0.4875,0.4875,0.21666666666666667,0.28886138613861384
6,daffa,RandomForest,0.2978723404255319,0.4195725534308211,0.4646039603960396,0.4646039603960396,0.2731580317625618,0.3448019801980198
6,daffa,MLP,0.2198581560283688,0.2591379310344828,0.32710396039603956,0.32710396039603956,0.21092796092796093,0.20420792079207922
7,dani,SVM,0.6857142857142857,0.4,0.41379310344827586,0.41379310344827586,0.4067796610169492,0.09734195402298851
7,dani,RandomForest,0.55,0.3811881188118812,0.33189655172413796,0.33189655172413796,0.3548387096774194,0.36745689655172414
7,dani,MLP,0.6928571428571428,0.40082644628099173,0.41810344827586204,0.41810344827586204,0.4092827004219409,0.13110632183908047
8,doni,SVM,0.7214285714285714,0.48333333333333334,0.4860869565217391,0.4860869565217391,0.4836879432624113,0.5238260869565217
8,doni,RandomForest,0.45,0.4121174524400331,0.3521739130434782,0.3521739130434782,0.357989399082842,0.2939130434782608
8,doni,MLP,0.5857142857142857,0.45504675137856626,0.4347826086956522,0.4347826086956522,0.4367369589345172,0.368695652173913
