window_start_ns,window_end_ns,red_Mean_NN,red_Median_NN,red_Heart_Rate,red_Mean_HR,red_SDNN,red_SDSD,red_RMSSD,red_NN_Count,red_SD1,red_SD2,red_SD1_SD2,infrared_Mean_NN,infrared_Median_NN,infrared_Heart_Rate,infrared_Mean_HR,infrared_SDNN,infrared_SDSD,infrared_RMSSD,infrared_NN_Count,infrared_SD1,infrared_SD2,infrared_SD1_SD2,ppg0_Mean_NN,ppg0_Median_NN,ppg0_Heart_Rate,ppg0_Mean_HR,ppg0_SDNN,ppg0_SDSD,ppg0_RMSSD,ppg0_NN_Count,ppg0_SD1,ppg0_SD2,ppg0_SD1_SD2,ppg1_Mean_NN,ppg1_Median_NN,ppg1_Heart_Rate,ppg1_Mean_HR,ppg1_SDNN,ppg1_SDSD,ppg1_RMSSD,ppg1_NN_Count,ppg1_SD1,ppg1_SD2,ppg1_SD1_SD2,ppg2_Mean_NN,ppg2_Median_NN,ppg2_Heart_Rate,ppg2_Mean_HR,ppg2_SDNN,ppg2_SDSD,ppg2_RMSSD,ppg2_NN_Count,ppg2_SD1,ppg2_SD2,ppg2_SD1_SD2,label
1783334989040830000,1783334999040830000,1156.8740705103448,970.365952,56.885755200116506,68.81202841113105,664.1579484311604,924.4501346756263,921.4195422837116,145.0,653.6849590979524,817.6549076799638,0.7994631389821114,1133.4239204324324,907.081216,29.62799750006068,67.55511448104642,680.9780435508153,903.068732031916,900.0204291878388,148.0,638.5660242973049,850.634414953427,0.7506938504625009,1055.8136968101264,717.227008,83.6555223531125,70.43044673311708,684.1782721257052,957.1389107816602,954.0943432219017,158.0,676.7994143512178,840.9346540990896,0.8048180807535953,1145.5264626758621,801.606656,83.6555223531125,64.11947931142355,669.6934318944003,972.4352174445381,969.0530009943259,145.0,687.6155365196478,812.7552044825046,0.8460303086677428,958.55280128,717.227008,83.6555223531125,73.28192342543512,561.8026194212105,765.4975367015512,763.3133010470992,175.0,541.2884991832649,696.2382829915568,0.7774471935922389,deceptive
1783334990040830000,1783335000040830000,1137.3794621793104,970.365952,88.88399250018203,67.70799347995253,605.6374147960821,877.9995660978653,874.9868992220207,145.0,620.8394470666469,735.4403761589061,0.8441737320830786,1136.5421975510203,843.79648,88.88399250018203,67.85772299042021,694.3605398315777,907.0864299837624,903.9879800894312,147.0,641.4069657638149,870.9602004025376,0.7364365966061038,1057.9702999235667,717.227008,83.6555223531125,70.52570974343135,698.929972496801,980.660422922307,977.5123768935736,157.0,693.4316350896308,858.2438445087845,0.80796575416922,1121.2865975838927,717.227008,83.6555223531125,65.47744291524995,669.38670252341,961.5331271572643,958.2807250264685,149.0,679.9065945484085,815.4879682589568,0.8337420305537915,971.3528484678362,717.227008,83.6555223531125,72.76678042006488,573.2586159938401,734.8596320682836,732.6952604896079,171.0,519.6242290557346,722.6660445264207,0.7190378363442496,deceptive
1783334991040830000,1783335001040830000,1091.6961648104575,928.176128,43.09526909099735,69.67786021359049,554.2304306775932,812.5528029224064,809.8835594757926,153.0,574.56159701857,670.2851827348386,0.857189763130813,1098.0456825263157,822.701568,67.72113714299583,68.920454586513,646.7476824525835,836.0211990113778,833.2530028279554,152.0,591.1562590366534,813.5307420229859,0.7266550954996985,1048.604043341772,717.227008,83.6555223531125,70.72460287654884,681.070407118431,944.078446158491,941.0708607452563,158.0,667.5642712507279,839.5789246876515,0.7951179473675829,1118.6082787945206,717.227008,64.64290363649603,65.64435751004626,668.2791026887902,942.2640112665007,939.0108264368573,146.0,666.2812720345801,819.2853907211212,0.8132468607161791,953.3930342988506,717.227008,83.6555223531125,73.35960197928904,551.6181086020715,697.3512897119123,695.3390608875422,174.0,493.1018258244779,697.8469532495909,0.7066045406206937,deceptive
1783334992040830000,1783335002040830000,1129.1479247567568,949.27104,44.441996250091016,67.77949435401818,607.1427230531478,901.3673838067315,898.2966891091289,148.0,637.3629894301173,730.8411470115341,0.872095108542183,1114.8946058378378,801.606656,79.00799333349514,67.6786621163765,649.6083134836547,846.2654408410377,843.5883752737186,148.0,598.4000319025208,815.4389142073655,0.7338379631835281,1045.9892214339625,717.227008,83.6555223531125,70.9125153764961,683.612198775395,955.4894200813303,952.4610695693216,159.0,675.6330482915105,840.4827592861266,0.8038630665849315,1123.8349762147652,717.227008,83.6555223531125,66.29447642701453,704.3371002690621,986.4566232235478,983.1224838691159,149.0,697.5301676277537,865.3943229854589,0.8060258186365226,938.3680517752808,717.227008,83.6555223531125,74.10688711346624,540.3735135236404,680.6917477021362,678.7661660573519,178.0,481.3217506979031,684.2307756804869,0.7034494322755579,deceptive
1783334993040830000,1783335003040830000,1142.0149619726026,970.365952,25.395426428623438,66.99837420674031,628.4512849468449,922.4061377991937,919.2254960406057,146.0,652.2396350459029,759.7326926888658,0.8585120020799413,1096.380294736842,801.606656,34.68643609763201,68.83708297224156,649.9483484468274,851.1151764602376,848.2968341207426,152.0,601.8293128458191,814.7186326562573,0.7386958990782532,1077.8819550967742,717.227008,79.00799333349514,69.5337566262966,710.787332914983,996.4980772979814,993.2574623438921,155.0,704.630547896759,873.0321647855515,0.8071072021382419,1106.4351194701987,717.227008,79.00799333349514,66.78974661226,678.2845322491073,931.9824824217204,928.8790255850237,151.0,659.0111332674708,838.4461679151158,0.7859909896256917,928.176128,717.227008,79.00799333349514,74.44775372884708,527.8180799910513,672.4911049257365,670.618125497947,180.0,475.52302058062236,666.4253743517124,0.7135427894581644,deceptive
1783334994040830000,1783335004040830000,1095.270036210526,928.176128,52.67199555566342,68.76367139248045,603.1363928988407,883.0852560691678,880.1662535343057,152.0,624.4355729323673,729.7856702528233,0.855642414458537,1037.5472004076435,801.606656,88.88399250018203,70.41659613135117,528.0529247119575,727.7015191501076,725.3658464301313,157.0,514.5626788707934,652.1444681589816,0.7890317314557852,1072.982491664516,717.227008,44.441996250091016,69.93943217204644,712.0842204619237,996.9798095655735,993.7460869683973,155.0,704.9711840498899,875.0061079166129,0.8056757291996787,1079.9499104415584,717.227008,94.80959200019417,67.63028365676358,647.045848822072,884.7768240017989,881.8931155390891,154.0,625.6316920883685,801.0175740163718,0.7810461497759615,934.3386865617978,717.227008,44.441996250091016,74.09151168503931,528.8766394675949,675.0201701214895,673.1201283830752,178.0,477.3113397306022,667.4638132748183,0.7151119360145392,deceptive
1783334995040830000,1783335005040830000,1089.4411789473686,885.986304,129.28580727299206,69.26708919337513,613.9303597651423,902.1708603848607,899.1796625534727,152.0,637.931133167037,741.8510011793635,0.8599181401020973,1042.9965350886075,801.606656,28.442877600058253,69.93206964379355,528.5806452876325,731.336029413335,729.0638832674413,158.0,517.1326657242137,651.9830520541652,0.7931688777720736,1057.970299923567,717.227008,83.6555223531125,70.66799894928113,707.5939032590204,990.3323606407059,987.1531153234964,157.0,700.2707278375248,869.5911210020624,0.8052873481856353,1048.908014289308,717.227008,88.88399250018203,68.97506084950825,630.144250739213,860.7242671592663,857.9961742182952,159.0,608.6239660401388,780.3537578945554,0.7799334082560778,955.9775149132947,717.227008,94.80959200019417,73.57402213862852,569.9974257898157,728.1375888125624,726.017989976095,173.0,514.8710266861849,719.199585479295,0.7158944986641785,deceptive
1783334996040830000,1783335006040830000,1120.842990933333,928.176128,35.55359700007281,68.84021609120052,699.3302438064229,1025.3709048466033,1021.9330964259128,150.0,725.0467200484194,845.7418085197257,0.8572908572622713,1037.8175841975308,801.606656,30.916171304411144,69.93912973716118,505.28243223663435,730.6236972105419,728.3700011122372,162.0,516.628970793161,614.1399888645402,0.8412234672233873,1067.9131246878978,717.227008,26.33599777783171,69.53579521682074,648.2354150591791,861.6687000397679,858.9607895063034,157.0,609.291780934317,809.1971759199587,0.7529583630116188,1041.381121590062,717.227008,64.64290363649603,68.51027370216926,606.261722031496,837.0753527525328,834.4564337250055,161.0,591.9016582954373,748.2865525016106,0.7910093483794944,947.2449750056497,717.227008,64.64290363649603,72.94231228701526,475.4960282494992,622.5402922044668,620.7703495749145,177.0,440.2024621796333,596.0736883201533,0.7385034280244878,deceptive
1783334997040830000,1783335007040830000,1136.2745842162162,928.176128,56.885755200116506,67.96215806913615,702.8019356237955,1032.821613782473,1029.3027802547847,148.0,730.31516686162,849.223763185563,0.8599796643962253,1048.1534399999998,801.606656,101.58170571449375,69.2915812741405,513.1860388175279,728.7495589705791,726.4547152071528,160.0,515.3037549348023,627.6550333977233,0.8209983629785889,1007.4726646746988,717.227008,83.6555223531125,70.58790801688151,538.0082669651741,748.6064641833375,746.3346873672999,166.0,529.3447072641222,662.4219811354923,0.7991049849474269,1032.3485329382715,717.227008,83.6555223531125,68.94658058195083,592.7161370339995,822.2009196463614,819.6436909027586,162.0,581.3838457797578,730.4938399015991,0.7958778213079427,944.8613691299435,717.227008,83.6555223531125,73.05309797199193,471.24949618231125,600.460465527603,598.7523738798253,177.0,424.5896670089992,594.9907416412108,0.7136071829249299,deceptive
1783334998040830000,1783335008040830000,1136.5421975510203,928.176128,118.51199000024272,69.40647200696388,729.3501566097347,1049.186806389019,1045.7083139890779,147.0,741.8871055291327,888.0906841185149,0.8353731424009944,1061.6882292658229,801.606656,83.6555223531125,68.05107380489522,519.1881124479021,712.9323843290256,710.7802496790861,158.0,504.1193234865479,641.9068827004143,0.7853464997380726,1001.6925279041916,717.227008,79.00799333349514,71.06461008167548,540.9670075957808,750.4927855604393,748.2292389184075,167.0,530.678537901368,666.6938962670202,0.7959852953098341,1013.8342555151515,717.227008,79.00799333349514,68.77576052311466,496.0871599901901,645.9970453046767,644.0249930591078,165.0,456.78889136141026,622.7976356559744,0.7334467332720169,934.5399562011173,717.227008,43.09526909099735,73.56699144982684,462.4359642320634,582.8608896618837,581.2369922251955,179.0,412.14488756834197,585.4590829905329,0.70396873076612,deceptive
