model,evaluation,n_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
CNN,SubjectSpecific,6,0.7992610837438424,0.045483215055712754,0.6163468117131911,0.24656116395761402,0.6545138888888888,0.17007155697158985,0.6545138888888888,0.17007155697158985,0.6220451022289257,0.20029241473714457,0.8548298395445135,0.2184896831941185
CNN,LOSOCV,6,0.5134329618372172,0.23032544602551216,0.30848415768628534,0.16884115329961125,0.5069444444444445,0.017010345435994324,0.5069444444444445,0.017010345435994324,0.349596371746447,0.12361001590556649,0.5423561870536799,0.2137447161794843
CNNLSTM,SubjectSpecific,6,0.6980706075533661,0.12146982349343592,0.4666228088641882,0.18392750337348487,0.5381944444444444,0.10472074858969059,0.5381944444444444,0.10472074858969059,0.46795045925346884,0.1236105282080954,0.6016336697722567,0.23115913343424987
CNNLSTM,LOSOCV,6,0.4828858493752111,0.19199482030360202,0.5163529192264713,0.08037929015437693,0.5057509321777552,0.02362240434659306,0.5057509321777552,0.02362240434659306,0.38556397637156886,0.09108916008783595,0.46333041020570903,0.09876666397660705
GRU,SubjectSpecific,6,0.6623563218390806,0.14497624961583241,0.38008434732572666,0.10375684961093197,0.4913194444444444,0.03511925780136189,0.4913194444444444,0.03511925780136189,0.4229107767137863,0.0738761558357735,0.5134090320910973,0.09421379768015377
GRU,LOSOCV,6,0.39118541033434645,0.11434006500420442,0.35398769840614935,0.1676327417357977,0.48429369812257533,0.02716578544880335,0.48429369812257533,0.02716578544880335,0.3398247129679853,0.11998091456483356,0.47134275156640726,0.11030274343905422
