Fold,Held-out Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
1,arthur,SVM,0.3076923076923077,0.304593288941115,0.36233889567222904,0.655103721716311,0.3139749870284869,0.5152392894203074
1,arthur,RandomForest,0.08461538461538462,0.0753384912959381,0.09049962383295716,0.539005442607,0.0660762434872801,0.21247747985084156
1,arthur,MLP,0.541025641025641,0.3924963924963925,0.42153278819945483,0.7247078827870522,0.38100665650938387,0.6494059910713682
2,bowo,SVM,0.28974358974358977,0.30267300882972525,0.3195102106853223,0.6592273498636217,0.2566716694828518,0.4784527394030287
2,bowo,RandomForest,0.1282051282051282,0.06802721088435375,0.12919896640826875,0.5773176870421136,0.08912655971479501,0.3821780093029326
2,bowo,MLP,0.3076923076923077,0.2873814215799409,0.33130690860553785,0.6597798480715809,0.28743014441931025,0.48551066792835057
3,doni,SVM,0.24358974358974358,0.2585824575529804,0.2490208204493919,0.6108356409938881,0.2304410435296925,0.42243989595567716
3,doni,RandomForest,0.28974358974358977,0.2323972323972324,0.2152545866831581,0.6070161883156405,0.2193061051793225,0.28510330761961056
3,doni,MLP,0.3,0.34862591605596266,0.3220366934652649,0.6767295158348109,0.2841419910095823,0.4667563695864496
