Fold,Held-out Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
1,adel,SVM,0.8642857142857143,0.8693181818181819,0.6356521739130435,0.6356521739130435,0.6736596736596737,0.9050434782608695
1,adel,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
1,adel,MLP,0.9428571428571428,0.944758590691605,0.8556521739130435,0.8556521739130435,0.8921417565485362,0.9867826086956522
2,adit,SVM,0.21994134897360704,0.3142023346303502,0.29894736842105263,0.29894736842105263,0.2193975903614458,0.30383458646616535
2,adit,RandomForest,0.3196480938416422,0.4449156406748746,0.4394486215538847,0.4394486215538847,0.31893939393939397,0.42523809523809525
2,adit,MLP,0.24633431085043989,0.3407258064516129,0.31586466165413535,0.31586466165413535,0.24422846399958603,0.20147869674185465
3,andi,SVM,0.8642857142857143,0.8693181818181819,0.6356521739130435,0.6356521739130435,0.6736596736596737,0.9050434782608695
3,andi,RandomForest,0.9928571428571429,0.9956896551724138,0.98,0.98,0.9876314162028448,1.0
3,andi,MLP,0.9428571428571428,0.944758590691605,0.8556521739130435,0.8556521739130435,0.8921417565485362,0.9933913043478261
4,arthur,SVM,0.6857142857142857,0.6275801493192797,0.5506715506715507,0.5506715506715507,0.5275711327555794,0.7146345717774288
4,arthur,RandomForest,0.7607142857142857,0.726983936705826,0.7201872201872201,0.7201872201872201,0.7232671003525541,0.8619105761962905
4,arthur,MLP,0.7071428571428572,0.6672416767293428,0.6691086691086692,0.6691086691086692,0.6681313598519889,0.7731844874702017
5,auzan,SVM,0.5285714285714286,0.5680272108843537,0.5583333333333333,0.5583333333333333,0.5206474372276406,0.598125
5,auzan,RandomForest,0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.70875
5,auzan,MLP,0.5357142857142857,0.5663463738274994,0.5604166666666667,0.5604166666666667,0.5316761875353816,0.588125
6,bowo,SVM,0.5607142857142857,0.5825326012354153,0.5740797782227014,0.5740797782227014,0.5537414965986395,0.580984650136044
6,bowo,RandomForest,0.575,0.5755766482955704,0.5760305970532369,0.5760305970532369,0.5745604514868679,0.6119410647363828
6,bowo,MLP,0.5464285714285714,0.5438461538461539,0.5438934236870476,0.5438934236870476,0.5438627996767531,0.5314954566456184
7,boya,SVM,0.8071428571428572,0.8037037037037038,0.5621212121212121,0.5621212121212121,0.5591836734693878,0.8160606060606062
7,boya,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
7,boya,MLP,0.9214285714285714,0.8752478051543472,0.9015151515151516,0.9015151515151516,0.887352790578597,0.9751515151515152
8,daffa,SVM,0.2907801418439716,0.6428571428571428,0.504950495049505,0.504950495049505,0.23202614379084965,0.3284653465346535
8,daffa,RandomForest,0.28368794326241137,0.3799212598425197,0.44715346534653466,0.44715346534653466,0.25847435563655297,0.29158415841584157
8,daffa,MLP,0.2553191489361702,0.3179908326967151,0.38205445544554456,0.38205445544554456,0.24298205246203403,0.2727722772277228
9,dani,SVM,0.7214285714285714,0.404,0.4353448275862069,0.4353448275862069,0.4190871369294606,0.07579022988505747
9,dani,RandomForest,0.5928571428571429,0.3878504672897196,0.3577586206896552,0.3577586206896552,0.3721973094170404,0.36709770114942525
9,dani,MLP,0.8,0.4117647058823529,0.4827586206896552,0.4827586206896552,0.4444444444444444,0.19647988505747127
10,doni,SVM,0.7142857142857143,0.4,0.43478260869565216,0.43478260869565216,0.4166666666666667,0.49843478260869567
10,doni,RandomForest,0.4857142857142857,0.4018651051832574,0.3426086956521739,0.3426086956521739,0.3602437166793603,0.32208695652173913
10,doni,MLP,0.5,0.41704619388418995,0.36695652173913046,0.36695652173913046,0.378014724549378,0.28243478260869564
11,wibo,SVM,0.5535714285714286,0.4828362845604225,0.48814314072643383,0.48814314072643383,0.46671542411360484,0.5084768496163957
11,wibo,RandomForest,0.6035714285714285,0.5552173913043479,0.5340683513064006,0.5340683513064006,0.5125394062014774,0.5234186383389666
11,wibo,MLP,0.5642857142857143,0.5305617848312345,0.528515478298192,0.528515478298192,0.527628740527684,0.5225065722410001
