Model,Evaluation,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean Specificity,Std Specificity,Mean F1,Std F1,Mean ROC-AUC,Std ROC-AUC
SVM,SubjectSpecific,0.9223018360949395,0.059938069508636865,0.902403295629102,0.06461432486293976,0.9049344753042792,0.08876680150909992,0.9049344753042792,0.08876680150909992,0.8989604609094262,0.07642691351897532,0.9517718661579789,0.05318664722791347
RandomForest,SubjectSpecific,0.9224957326531539,0.05421434503340453,0.9083158780653489,0.08113955501317897,0.8721398628452834,0.10761951150074896,0.8721398628452834,0.10761951150074896,0.8852439996975808,0.09831857634077723,0.9332839734352337,0.09645736440785903
MLP,SubjectSpecific,0.8038131908071938,0.09197755138026101,0.6676103182464721,0.21395756079739675,0.6511138563464216,0.1717367935977252,0.6511138563464216,0.1717367935977252,0.6290978490725933,0.18549817600112398,0.7568996676941281,0.15108520222114605
SVM,LOSOCV,0.6191564991652345,0.21507694792424215,0.5967614355297303,0.19083836198739876,0.5162435147867033,0.09911546300363304,0.5162435147867033,0.09911546300363304,0.4783960044756929,0.15096540799240016,0.5668085072369805,0.2625082615027844
RandomForest,LOSOCV,0.6532253540224464,0.2573364198791863,0.6139758536529831,0.273619227679108,0.6270232337990097,0.2568664348137902,0.6270232337990097,0.2568664348137902,0.5883172285047686,0.2920835154824063,0.6465479264178855,0.2827964634951826
MLP,LOSOCV,0.6329425223182632,0.2530065259309136,0.5963898649715144,0.23294222265277467,0.5874898178754798,0.2075559421612111,0.5874898178754798,0.2075559421612111,0.5684186433384473,0.2423846610645018,0.5748911441988689,0.31757936194012676
