feature,n_classes,classes,f_stat,p_value,eta_squared,interpretation,kw_h_stat,kw_p_value,base_n,base_mean,base_std,base_median,truth_n,truth_mean,truth_std,truth_median,deceptive_n,deceptive_mean,deceptive_std,deceptive_median
red_Mean_NN,3,"base, deceptive, truth",16.011929556008262,1.1452240396285219e-07,0.0036720297558361717,negligible,101.77228950509955,7.951116716717777e-23,3311.0,1468.470499413807,315.81025307180084,1368.0825599999998,,,,,,,,
red_Mean_NN,3,"base, deceptive, truth",16.011929556008262,1.1452240396285219e-07,0.0036720297558361717,negligible,101.77228950509955,7.951116716717777e-23,,,,,2601.0,1440.3285054453806,318.4697658519417,1339.217568768,,,,
red_Mean_NN,3,"base, deceptive, truth",16.011929556008262,1.1452240396285219e-07,0.0036720297558361717,negligible,101.77228950509955,7.951116716717777e-23,,,,,,,,,2780.0,1501.9075634838193,535.2735528699296,1404.3164783865543
red_Median_NN,3,"base, deceptive, truth",98.43693392301864,5.3273008738573225e-43,0.022155825164076978,small,428.9933941379362,7.002741200505243e-94,3311.0,1398.7464461491998,222.1488454049492,1347.85024,,,,,,,,
red_Median_NN,3,"base, deceptive, truth",98.43693392301864,5.3273008738573225e-43,0.022155825164076978,small,428.9933941379362,7.002741200505243e-94,,,,,2601.0,1287.1353355663207,211.8844464403529,1301.079424,,,,
red_Median_NN,3,"base, deceptive, truth",98.43693392301864,5.3273008738573225e-43,0.022155825164076978,small,428.9933941379362,7.002741200505243e-94,,,,,,,,,2780.0,1395.8785400633094,501.59657220392427,1344.36864
red_Heart_Rate,3,"base, deceptive, truth",22.11889910796584,2.619720848160784e-10,0.0050654521539501415,negligible,53.264707497271665,2.714661769826829e-12,3311.0,54.712459700893355,37.6610529314227,38.59709939195673,,,,,,,,
red_Heart_Rate,3,"base, deceptive, truth",22.11889910796584,2.619720848160784e-10,0.0050654521539501415,negligible,53.264707497271665,2.714661769826829e-12,,,,,2601.0,61.72744604592363,43.18658687339108,44.56910164664646,,,,
red_Heart_Rate,3,"base, deceptive, truth",22.11889910796584,2.619720848160784e-10,0.0050654521539501415,negligible,53.264707497271665,2.714661769826829e-12,,,,,,,,,2780.0,58.28998710010922,40.797293643479904,43.2258878389878
red_Mean_HR,3,"base, deceptive, truth",297.87894915834397,7.498634726651021e-126,0.06416515162174535,medium,1148.0891540355697,4.961441039643018e-250,3311.0,57.27489134000925,9.541119338429594,59.63608052286745,,,,,,,,
red_Mean_HR,3,"base, deceptive, truth",297.87894915834397,7.498634726651021e-126,0.06416515162174535,medium,1148.0891540355697,4.961441039643018e-250,,,,,2601.0,63.63609908638584,10.207914935406695,65.65700297575448,,,,
red_Mean_HR,3,"base, deceptive, truth",297.87894915834397,7.498634726651021e-126,0.06416515162174535,medium,1148.0891540355697,4.961441039643018e-250,,,,,,,,,2780.0,59.776380636564014,10.213386571026897,61.81369961361891
red_SDNN,3,"base, deceptive, truth",229.18683838286782,1.0052324032735273e-97,0.05011534548715507,small,289.94406924592334,1.095078703100496e-63,3311.0,757.6590364348507,204.47514533056588,707.5471710205776,,,,,,,,
red_SDNN,3,"base, deceptive, truth",229.18683838286782,1.0052324032735273e-97,0.05011534548715507,small,289.94406924592334,1.095078703100496e-63,,,,,2601.0,901.2689940445182,312.6218011669035,774.6714234921548,,,,
red_SDNN,3,"base, deceptive, truth",229.18683838286782,1.0052324032735273e-97,0.05011534548715507,small,289.94406924592334,1.095078703100496e-63,,,,,,,,,2779.0,873.7046961152957,315.8057205429605,737.3079776115726
red_SDSD,3,"base, deceptive, truth",180.8329192557696,1.1373584679781597e-77,0.039964551726588936,small,273.65559420196814,3.770880311801662e-60,3311.0,1067.89576296662,331.1673181964037,994.2407259632872,,,,,,,,
red_SDSD,3,"base, deceptive, truth",180.8329192557696,1.1373584679781597e-77,0.039964551726588936,small,273.65559420196814,3.770880311801662e-60,,,,,2601.0,1254.4353991768567,448.3332244107562,1076.087503220376,,,,
red_SDSD,3,"base, deceptive, truth",180.8329192557696,1.1373584679781597e-77,0.039964551726588936,small,273.65559420196814,3.770880311801662e-60,,,,,,,,,2779.0,1226.6436549341768,464.36281081317605,1034.7512317961675
red_RMSSD,3,"base, deceptive, truth",182.30283380700791,2.774172824243088e-78,0.04027632275184637,small,274.57979869924566,2.3754959340384784e-60,3311.0,1062.8689231688852,327.9366986269168,990.3872938539902,,,,,,,,
red_RMSSD,3,"base, deceptive, truth",182.30283380700791,2.774172824243088e-78,0.04027632275184637,small,274.57979869924566,2.3754959340384784e-60,,,,,2601.0,1248.3193102888456,444.850966354015,1071.8433867000151,,,,
red_RMSSD,3,"base, deceptive, truth",182.30283380700791,2.774172824243088e-78,0.04027632275184637,small,274.57979869924566,2.3754959340384784e-60,,,,,,,,,2779.0,1220.2935823397165,457.84467192644047,1030.6382638922116
red_NN_Count,3,"base, deceptive, truth",636.1629561522195,1.6547319496806913e-260,0.11478604313610638,medium,623.4043685790683,4.260507811080714e-136,3311.0,117.17456961643008,19.337963373128368,121.0,,,,,,,,
red_NN_Count,3,"base, deceptive, truth",636.1629561522195,1.6547319496806913e-260,0.11478604313610638,medium,623.4043685790683,4.260507811080714e-136,,,,,2775.0,110.8836036036036,36.15366848274045,122.0,,,,
red_NN_Count,3,"base, deceptive, truth",636.1629561522195,1.6547319496806913e-260,0.11478604313610638,medium,623.4043685790683,4.260507811080714e-136,,,,,,,,,3729.0,85.30222579780101,53.317028960042784,110.0
red_SD1,3,"base, deceptive, truth",180.83291925576967,1.1373584679781597e-77,0.03996455172658895,small,273.65559420196814,3.770880311801662e-60,3311.0,755.1163355940789,234.1706564040402,703.0343594604761,,,,,,,,
red_SD1,3,"base, deceptive, truth",180.83291925576967,1.1373584679781597e-77,0.03996455172658895,small,273.65559420196814,3.770880311801662e-60,,,,,2601.0,887.0197773184091,317.0194632120759,760.9087706772287,,,,
red_SD1,3,"base, deceptive, truth",180.83291925576967,1.1373584679781597e-77,0.03996455172658895,small,273.65559420196814,3.770880311801662e-60,,,,,,,,,2779.0,867.3680465034079,328.35409245684264,731.6796128442031
red_SD2,3,"base, deceptive, truth",245.1509151819287,2.6796567243874863e-104,0.053419667322535655,small,293.54594342677666,1.808457438937362e-64,3311.0,928.4156732655256,239.2508394078425,865.8838621511687,,,,,,,,
red_SD2,3,"base, deceptive, truth",245.1509151819287,2.6796567243874863e-104,0.053419667322535655,small,293.54594342677666,1.808457438937362e-64,,,,,2601.0,1108.9420929308508,382.9251195727427,954.103851206318,,,,
red_SD2,3,"base, deceptive, truth",245.1509151819287,2.6796567243874863e-104,0.053419667322535655,small,293.54594342677666,1.808457438937362e-64,,,,,,,,,2779.0,1071.9785231939163,383.3757758801763,908.9089879924384
red_SD1_SD2,3,"base, deceptive, truth",21.615973280665504,4.3209747470350255e-10,0.004951414282191562,negligible,30.42113510237245,2.4781891196648177e-07,3311.0,0.8077723029771219,0.05408937143414313,0.8053997878006536,,,,,,,,
red_SD1_SD2,3,"base, deceptive, truth",21.615973280665504,4.3209747470350255e-10,0.004951414282191562,negligible,30.42113510237245,2.4781891196648177e-07,,,,,2601.0,0.7991985909783029,0.05158841495988735,0.800401163316093,,,,
red_SD1_SD2,3,"base, deceptive, truth",21.615973280665504,4.3209747470350255e-10,0.004951414282191562,negligible,30.42113510237245,2.4781891196648177e-07,,,,,,,,,2779.0,0.806788992150067,0.05322487983435288,0.8028498167750094
infrared_Mean_NN,3,"base, deceptive, truth",21.052836405494116,7.567566447995989e-10,0.004823595267283453,negligible,134.6597781362474,5.741174015287567e-30,3311.0,1586.0832097425368,344.83141052091224,1484.5950857142852,,,,,,,,
infrared_Mean_NN,3,"base, deceptive, truth",21.052836405494116,7.567566447995989e-10,0.004823595267283453,negligible,134.6597781362474,5.741174015287567e-30,,,,,2601.0,1567.2214156927007,359.29392527342554,1441.0213264695649,,,,
infrared_Mean_NN,3,"base, deceptive, truth",21.052836405494116,7.567566447995989e-10,0.004823595267283453,negligible,134.6597781362474,5.741174015287567e-30,,,,,,,,,2778.0,1717.383699284143,1584.9938231698582,1540.1581766037737
infrared_Median_NN,3,"base, deceptive, truth",25.513396817988486,8.95546584828071e-12,0.005839624304326976,negligible,450.6452626998423,1.3919529533987204e-98,3311.0,1488.560887050438,228.52915272561782,1475.3087999999998,,,,,,,,
infrared_Median_NN,3,"base, deceptive, truth",25.513396817988486,8.95546584828071e-12,0.005839624304326976,negligible,450.6452626998423,1.3919529533987204e-98,,,,,2601.0,1355.6813270465207,235.1502286408405,1346.224128,,,,
infrared_Median_NN,3,"base, deceptive, truth",25.513396817988486,8.95546584828071e-12,0.005839624304326976,negligible,450.6452626998423,1.3919529533987204e-98,,,,,,,,,2778.0,1517.3372958041757,1531.186056250751,1426.990336
infrared_Heart_Rate,3,"base, deceptive, truth",20.705221398165488,1.0695505138247898e-09,0.004744328084446069,negligible,21.544542119788,2.0973075542204122e-05,3311.0,53.44308489064348,37.865021696577706,37.58138625006313,,,,,,,,
infrared_Heart_Rate,3,"base, deceptive, truth",20.705221398165488,1.0695505138247898e-09,0.004744328084446069,negligible,21.544542119788,2.0973075542204122e-05,,,,,2601.0,60.05819784013177,47.00422588881069,42.04653562559235,,,,
