host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,ambient,label
1783334989040830000,111714,72629,187661,139980,174106,1262,deceptive
1783334989040830000,111757,72617,187661,139980,174106,1262,deceptive
1783334989040830000,111671,72592,187661,139980,174106,1262,deceptive
1783334989040830000,111692,72605,187661,139980,174106,1262,deceptive
1783334989040830000,111714,72641,187661,139980,174106,1262,deceptive
1783334989040830000,111714,72617,187661,139980,174106,1262,deceptive
1783334989040830000,111714,72666,187661,139980,174106,1262,deceptive
1783334989040830000,111736,72641,187661,139980,174106,1262,deceptive
1783334989040830000,111736,72641,187661,139980,174106,1262,deceptive
1783334989040830000,111757,72641,187661,139980,174106,1262,deceptive
1783334989040830000,111736,72617,187661,139980,174106,1262,deceptive
1783334989040830000,111736,72653,187661,139980,174106,1262,deceptive
1783334989040830000,111714,72666,187661,139980,174106,1262,deceptive
1783334989040830000,111692,72617,187661,139980,174106,1262,deceptive
1783334989040830000,111736,72641,187661,139980,174106,1262,deceptive
1783334989040830000,111714,72666,187661,139980,174106,1262,deceptive
1783334989040830000,111714,72666,187661,139980,174106,1262,deceptive
1783334989082950000,111714,72666,187651,140007,174045,1352,deceptive
1783334989082950000,111736,72702,187651,140007,174045,1352,deceptive
1783334989082950000,111736,72678,187651,140007,174045,1352,deceptive
1783334989082950000,111736,72666,187651,140007,174045,1352,deceptive
1783334989082950000,111714,72690,187651,140007,174045,1352,deceptive
1783334989082950000,111801,72678,187651,140007,174045,1352,deceptive
1783334989082950000,111779,72690,187651,140007,174045,1352,deceptive
1783334989082950000,111736,72702,187651,140007,174045,1352,deceptive
1783334989082950000,111801,72702,187651,140007,174045,1352,deceptive
1783334989082950000,111779,72715,187651,140007,174045,1352,deceptive
1783334989082950000,111801,72715,187651,140007,174045,1352,deceptive
1783334989082950000,111779,72727,187651,140007,174045,1352,deceptive
1783334989082950000,111779,72739,187651,140007,174045,1352,deceptive
1783334989082950000,111757,72739,187651,140007,174045,1352,deceptive
1783334989082950000,111779,72739,187651,140007,174045,1352,deceptive
1783334989082950000,111757,72715,187651,140007,174045,1352,deceptive
1783334989082950000,111779,72702,187651,140007,174045,1352,deceptive
1783334989127310000,111779,72715,187701,139952,174041,1314,deceptive
1783334989127310000,111757,72715,187701,139952,174041,1314,deceptive
1783334989127310000,111757,72739,187701,139952,174041,1314,deceptive
1783334989127310000,111779,72715,187701,139952,174041,1314,deceptive
1783334989127310000,111779,72715,187701,139952,174041,1314,deceptive
1783334989127310000,111822,72727,187701,139952,174041,1314,deceptive
1783334989127310000,111779,72751,187701,139952,174041,1314,deceptive
1783334989127310000,111779,72751,187701,139952,174041,1314,deceptive
1783334989127310000,111822,72751,187701,139952,174041,1314,deceptive
1783334989127310000,111801,72764,187701,139952,174041,1314,deceptive
1783334989127310000,111779,72739,187701,139952,174041,1314,deceptive
1783334989127310000,111757,72764,187701,139952,174041,1314,deceptive
