Fold,Held-out Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
1,andi,SVM,0.424,0.14363143631436315,0.3212121212121212,0.6607407407407407,0.19850187265917604,0.47048370663153266
1,andi,RandomForest,0.272,0.10897435897435898,0.20606060606060606,0.6004938271604938,0.14255765199161427,0.1257679012345679
1,andi,MLP,0.436,0.1459170013386881,0.3303030303030303,0.6651851851851852,0.20241411327762304,0.6538259391708666
2,arthur,SVM,0.284,0.21047206761492476,0.24369006520905256,0.6127355425601039,0.22448368751870698,0.3754473015014621
2,arthur,RandomForest,0.288,0.20124521072796933,0.23261898922824428,0.6119790216281444,0.20247191283733393,0.4573798899029802
2,arthur,MLP,0.28,0.1716945067730408,0.22163406214039125,0.5965979764225379,0.18139717928301438,0.3371786689168726
3,auzan,SVM,0.44,0.14666666666666667,0.3333333333333333,0.6666666666666666,0.20370370370370372,0.6075165967503429
3,auzan,RandomForest,0.336,0.20978225544361392,0.27499999999999997,0.6263968745392895,0.23228383022197455,0.46095784246713034
3,auzan,MLP,0.408,0.2435964001384562,0.3215909090909091,0.6581232492997199,0.2504611891585072,0.45046641782709895
4,bowo,SVM,0.232,0.1670995670995671,0.25121708892200695,0.6213728766360346,0.18612403100775196,0.3851721951270157
4,bowo,RandomForest,0.036,0.020134228187919465,0.02727272727272727,0.48723661004362756,0.023166023166023165,0.14066003587743195
4,bowo,MLP,0.216,0.18546470999301187,0.23054827167713657,0.6034530771372877,0.17965940584988202,0.3251871260380524
5,daffa,SVM,0.28174603174603174,0.3316276803118909,0.3935740195641186,0.6724268440705893,0.27676400589000755,0.5479537557943693
5,daffa,RandomForest,0.3611111111111111,0.25876887340301974,0.4065315315315316,0.6692112945824985,0.3119108266388,0.5586872517889289
5,daffa,MLP,0.4246031746031746,0.4288785689714482,0.49102146701156607,0.7262125255038817,0.3981151526129423,0.6112760471651281
6,doni,SVM,0.256,0.16906573892875262,0.20464123998606754,0.6363932549641175,0.17243449167791272,0.314988290380349
6,doni,RandomForest,0.44,0.14666666666666667,0.3333333333333333,0.6666666666666666,0.20370370370370372,0.566388143543965
6,doni,MLP,0.336,0.2003220611916264,0.2543887147335423,0.6387644583655678,0.18006274387117518,0.4386432870483057
