accuracy,precision,recall,specificity,f1,roc_auc,subject,model,n_test
0.7,0.4777777777777778,0.5197628458498024,0.8196649029982362,0.4916517590936196,0.8826038507922566,andi,CNN,50
0.5,0.4930555555555556,0.3636363636363636,0.691358024691358,0.2715179968701095,0.5729351834424298,andi,CNNLSTM,50
0.38,0.22766122766122765,0.2859025032938077,0.6274250440917107,0.2336869173899068,0.5992315494489407,andi,GRU,50
0.84,0.8888888888888888,0.7777777777777777,0.9215686274509803,0.7666666666666666,0.9745657034743722,arthur,CNN,50
0.78,0.7493961352657005,0.701388888888889,0.8910880141530297,0.6648148148148149,0.9033905228758169,arthur,CNNLSTM,50
0.38,0.3048780487804878,0.3061868686868687,0.6477222467934541,0.2546416546416546,0.4841022732857098,arthur,GRU,50
0.4,0.3938572719060524,0.5,0.7358101135190919,0.36427672955974844,0.8831644898788862,auzan,CNN,50
0.44,0.14666666666666667,0.3333333333333333,0.6666666666666666,0.20370370370370372,0.5115694204316495,auzan,CNNLSTM,50
0.42,0.14285714285714285,0.3181818181818182,0.6568627450980392,0.19718309859154928,0.4990117059583004,auzan,GRU,50
0.44,0.14666666666666667,0.3333333333333333,0.6666666666666666,0.20370370370370372,0.7700808393532852,bowo,CNN,50
0.44,0.14666666666666667,0.3333333333333333,0.6666666666666666,0.20370370370370372,0.5318600925218573,bowo,CNNLSTM,50
0.44,0.3611111111111111,0.37436868686868685,0.6970367094206104,0.35361552028218696,0.5193516601217839,bowo,GRU,50
0.7450980392156863,0.5241228070175438,0.5942028985507246,0.859062980030722,0.5421245421245421,0.7413952090507099,daffa,CNN,51
0.49019607843137253,0.354251012145749,0.39927536231884053,0.7146697388632872,0.3435504469987228,0.564197027517749,daffa,CNNLSTM,51
0.49019607843137253,0.32666666666666666,0.38840579710144923,0.7054531490015362,0.3546485260770975,0.46985511905926797,daffa,GRU,51
0.46,0.15333333333333335,0.3333333333333333,0.6666666666666666,0.2100456621004566,0.7833884392580045,doni,CNN,50
0.42,0.14285714285714285,0.3181818181818182,0.6543209876543209,0.19718309859154928,0.5271047605105575,doni,CNNLSTM,50
0.64,0.4272678475577026,0.4749670619235837,0.7821869488536155,0.44868382135462886,0.7936704170762142,doni,GRU,50
