accuracy,precision,recall,specificity,f1,roc_auc,subject,model,n_test
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.6667826086956522,adel,CNN,140
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.6243478260869566,adel,CNNLSTM,140
0.65,0.5543478260869565,0.5834782608695652,0.5834782608695652,0.5460260737211302,0.5742608695652174,adel,GRU,140
0.3422818791946309,0.204,0.34,0.34,0.255,0.09441441441441442,adit,CNN,149
0.5033557046979866,0.5024752475247525,0.5021621621621621,0.5021621621621621,0.4864940387481371,0.4583783783783784,adit,CNNLSTM,149
0.4697986577181208,0.4673737373737374,0.47090090090090087,0.47090090090090087,0.45567630057803465,0.4882882882882883,adit,GRU,149
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.6525217391304348,andi,CNN,140
0.75,0.5558551617873652,0.5504347826086957,0.5504347826086957,0.552552278330746,0.5902608695652174,andi,CNNLSTM,140
0.6071428571428571,0.5536164844407064,0.5886956521739131,0.5886956521739131,0.5290807901657391,0.5568695652173914,andi,GRU,140
0.7035714285714286,0.672588285960379,0.6864061864061863,0.6864061864061863,0.6764988376786982,0.7401011686725972,arthur,CNN,280
0.6571428571428571,0.5044025157232704,0.501017501017501,0.501017501017501,0.4414429390740587,0.5972440258154543,arthur,CNNLSTM,280
0.45357142857142857,0.4756692259804939,0.47273097273097275,0.47273097273097275,0.44679037694185103,0.512529798244084,arthur,GRU,280
0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.5275000000000001,auzan,CNN,140
0.5857142857142857,0.7898550724637681,0.5166666666666667,0.5166666666666667,0.3992305415803492,0.47208333333333335,auzan,CNNLSTM,140
0.5571428571428572,0.5370027752081405,0.5333333333333333,0.5333333333333333,0.5293862502710909,0.48875,auzan,GRU,140
0.5392857142857143,0.26964285714285713,0.5,0.5,0.3503480278422274,0.7978849016889984,bowo,CNN,280
0.6142857142857143,0.612223986884574,0.6124544381128395,0.6124544381128395,0.6123076923076923,0.6429488166743672,bowo,CNNLSTM,280
0.5571428571428572,0.563265306122449,0.5278505056727758,0.5278505056727758,0.46538556294653854,0.566507520919965,bowo,GRU,280
0.325,0.1625,0.5,0.5,0.24528301886792453,0.821908250479679,boya,CNN,280
0.7035714285714286,0.6765873015873016,0.5724460724460725,0.5724460724460725,0.557156195811658,0.6531775103203675,boya,CNNLSTM,280
0.5928571428571429,0.5431806658779788,0.5445665445665446,0.5445665445665446,0.543582704186685,0.5427059712773998,boya,GRU,280
0.7163120567375887,0.35815602836879434,0.5,0.5,0.41735537190082644,0.4777227722772277,cece,CNN,141
0.5390070921985816,0.47745098039215683,0.4743811881188119,0.4743811881188119,0.47270007479431564,0.5002475247524752,cece,CNNLSTM,141
0.5886524822695035,0.4579988532110092,0.46373762376237626,0.46373762376237626,0.4591269841269841,0.43811881188118806,cece,GRU,141
0.7163120567375887,0.35815602836879434,0.5,0.5,0.41735537190082644,0.3900990099009901,daffa,CNN,141
0.6099290780141844,0.5879120879120878,0.6069306930693069,0.6069306930693069,0.579378423821663,0.6678217821782179,daffa,CNNLSTM,141
0.5957446808510638,0.4248275862068966,0.44603960396039605,0.44603960396039605,0.43020205600850764,0.4465346534653465,daffa,GRU,141
0.17142857142857143,0.08571428571428572,0.5,0.5,0.14634146341463414,0.20402298850574713,dani,CNN,140
0.6642857142857143,0.42000000000000004,0.41738505747126436,0.41738505747126436,0.4186765615337044,0.420617816091954,dani,CNNLSTM,140
0.2857142857142857,0.5028735632183908,0.5028735632183908,0.5028735632183908,0.2857142857142857,0.4418103448275862,dani,GRU,140
0.5533333333333333,0.7142857142857143,0.5533333333333333,0.5533333333333333,0.4500683994528044,0.5169777777777778,didin,CNN,150
0.46,0.45725683890577506,0.45999999999999996,0.45999999999999996,0.45119472424228735,0.4206222222222222,didin,CNNLSTM,150
0.49333333333333335,0.4902874902874903,0.49333333333333335,0.49333333333333335,0.45023148148148145,0.5299555555555555,didin,GRU,150
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.6702608695652175,dita,CNN,140
0.8142857142857143,0.41007194244604317,0.4956521739130435,0.4956521739130435,0.44881889763779526,0.5979130434782609,dita,CNNLSTM,140
0.5714285714285714,0.5487179487179488,0.5826086956521739,0.5826086956521739,0.5087719298245614,0.5909565217391305,dita,GRU,140
0.7163120567375887,0.35815602836879434,0.5,0.5,0.41735537190082644,0.4688118811881188,diva,CNN,141
0.624113475177305,0.4452380952380952,0.4658415841584158,0.4658415841584158,0.44566426822935984,0.4433168316831684,diva,CNNLSTM,141
0.5815602836879432,0.4161793372319688,0.43613861386138614,0.43613861386138614,0.42249219021173207,0.401980198019802,diva,GRU,141
0.175,0.0875,0.5,0.5,0.14893617021276595,0.42989663397826666,doni,CNN,280
0.75,0.5546099290780142,0.5510204081632653,0.5510204081632653,0.552552278330746,0.5303472038165916,doni,CNNLSTM,280
0.20357142857142857,0.5900735294117647,0.5173160173160173,0.5173160173160173,0.18612077842516195,0.6026150720028269,doni,GRU,280
0.7163120567375887,0.35815602836879434,0.5,0.5,0.41735537190082644,0.3811881188118812,fitri,CNN,141
0.7092198581560284,0.35714285714285715,0.49504950495049505,0.49504950495049505,0.4149377593360996,0.46930693069306934,fitri,CNNLSTM,141
0.5673758865248227,0.39327485380116955,0.41868811881188117,0.41868811881188117,0.402915654286706,0.4415841584158416,fitri,GRU,141
0.5392857142857143,0.26964285714285713,0.5,0.5,0.3503480278422274,0.7753991478001951,gilang,CNN,280
0.6857142857142857,0.7025427794658563,0.695056214384722,0.695056214384722,0.6844100619908806,0.7640535961805022,gilang,CNNLSTM,280
0.5642857142857143,0.5795918367346939,0.5350377329431696,0.5350377329431696,0.47400837644740085,0.5833975050053904,gilang,GRU,280
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.6601739130434783,kayla,CNN,140
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.6003478260869566,kayla,CNNLSTM,140
0.7142857142857143,0.5130434782608696,0.5130434782608696,0.5130434782608696,0.5130434782608696,0.6059130434782609,kayla,GRU,140
0.56,0.7659574468085106,0.56,0.56,0.45436507936507936,0.8833777777777777,maul,CNN,150
0.5466666666666666,0.671680837148463,0.5466666666666666,0.5466666666666666,0.4457726581178005,0.35502222222222224,maul,CNNLSTM,150
0.4666666666666667,0.4666429460950009,0.4666666666666667,0.4666666666666667,0.4665718349928876,0.5223111111111112,maul,GRU,150
0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.5287499999999999,maun,CNN,140
0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.4741666666666667,maun,CNNLSTM,140
0.5642857142857143,0.2841726618705036,0.49375,0.49375,0.3607305936073059,0.483125,maun,GRU,140
0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.48979166666666674,mira,CNN,140
0.5785714285714286,0.7877697841726619,0.5083333333333333,0.5083333333333333,0.38169024627591885,0.4964583333333334,mira,CNNLSTM,140
0.5714285714285714,0.5378787878787878,0.5083333333333333,0.5083333333333333,0.41731409544950054,0.5070833333333333,mira,GRU,140
0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.5327083333333333,nisa,CNN,140
0.5714285714285714,0.2857142857142857,0.5,0.5,0.36363636363636365,0.47291666666666665,nisa,CNNLSTM,140
0.5714285714285714,0.5373134328358209,0.50625,0.50625,0.405267629566695,0.5414583333333334,nisa,GRU,140
0.7163120567375887,0.35815602836879434,0.5,0.5,0.41735537190082644,0.4267326732673267,paula,CNN,141
0.6028368794326241,0.5552362707535121,0.5642326732673267,0.5642326732673267,0.5531914893617021,0.6064356435643564,paula,CNNLSTM,141
0.6312056737588653,0.45123966942148763,0.47079207920792077,0.47079207920792077,0.4495495495495495,0.44801980198019803,paula,GRU,141
0.5570469798657718,0.7642857142857142,0.56,0.56,0.4529372496662216,0.9353153153153153,raihan,CNN,149
0.4899328859060403,0.47716666666666663,0.4876576576576577,0.4876576576576577,0.4222448979591837,0.47027027027027024,raihan,CNNLSTM,149
0.3959731543624161,0.39338235294117646,0.3954954954954955,0.3954954954954955,0.39266304347826086,0.36036036036036034,raihan,GRU,149
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.6587826086956522,rina,CNN,140
0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.5721739130434783,rina,CNNLSTM,140
0.6785714285714286,0.4776785714285714,0.4756521739130435,0.4756521739130435,0.47635275538193,0.561391304347826,rina,GRU,140
0.5392857142857143,0.26964285714285713,0.5,0.5,0.3503480278422274,0.7616920786488013,tira,CNN,280
0.7142857142857143,0.7198291390046831,0.7192874377534781,0.7192874377534781,0.7142711362824634,0.795780070845526,tira,CNNLSTM,280
0.5964285714285714,0.6185897435897436,0.5721802967298115,0.5721802967298115,0.5387687867170076,0.5992094050002567,tira,GRU,280
0.7178571428571429,0.6763392857142857,0.6286121286121287,0.6286121286121287,0.6356508705176986,0.7626606198034769,uli,CNN,280
0.6928571428571428,0.645693089710125,0.5616605616605617,0.5616605616605617,0.543939393939394,0.6211407639979069,uli,CNNLSTM,280
0.5321428571428571,0.49702380952380953,0.4967439967439967,0.4967439967439967,0.4938665121220902,0.523751380894238,uli,GRU,280
0.24285714285714285,0.34327651515151514,0.26221264367816094,0.26221264367816094,0.22708333333333336,0.180316091954023,vina,CNN,140
0.17142857142857143,0.08571428571428572,0.5,0.5,0.14634146341463414,0.4227729885057471,vina,CNNLSTM,140
0.32857142857142857,0.4966703662597114,0.4956896551724138,0.4956896551724138,0.32512820512820517,0.48994252873563215,vina,GRU,140
0.39285714285714285,0.19642857142857142,0.5,0.5,0.28205128205128205,0.44144385026737964,wibo,CNN,280
