window_start_ns,window_end_ns,red_Mean_NN,red_Median_NN,red_Heart_Rate,red_Mean_HR,red_SDNN,red_SDSD,red_RMSSD,red_NN_Count,red_SD1,red_SD2,red_SD1_SD2,infrared_Mean_NN,infrared_Median_NN,infrared_Heart_Rate,infrared_Mean_HR,infrared_SDNN,infrared_SDSD,infrared_RMSSD,infrared_NN_Count,infrared_SD1,infrared_SD2,infrared_SD1_SD2,ppg0_Mean_NN,ppg0_Median_NN,ppg0_Heart_Rate,ppg0_Mean_HR,ppg0_SDNN,ppg0_SDSD,ppg0_RMSSD,ppg0_NN_Count,ppg0_SD1,ppg0_SD2,ppg0_SD1_SD2,ppg1_Mean_NN,ppg1_Median_NN,ppg1_Heart_Rate,ppg1_Mean_HR,ppg1_SDNN,ppg1_SDSD,ppg1_RMSSD,ppg1_NN_Count,ppg1_SD1,ppg1_SD2,ppg1_SD1_SD2,ppg2_Mean_NN,ppg2_Median_NN,ppg2_Heart_Rate,ppg2_Mean_HR,ppg2_SDNN,ppg2_SDSD,ppg2_RMSSD,ppg2_NN_Count,ppg2_SD1,ppg2_SD2,ppg2_SD1_SD2,label
1784137615156686800,1784137625156686800,1478.9563817142857,1341.579264,84.18524309465492,65.5961218993476,974.7572838486058,1482.2225838851068,1475.5416764009346,112.0,1048.0896402930055,1162.35002378245,0.9016988160609097,2129.4303983376626,1676.97408,22.361705197017713,56.86396593696241,1991.1957824468132,2599.9033879699045,2582.877848739756,77.0,1838.4093160633988,2497.968550917646,0.7359617539572492,983.3166196363635,712.713984,26.020893320166067,70.37593539421917,466.5074351764795,565.5653681745883,557.8656931962986,33.0,399.91510704051785,596.0640298913029,0.6709264223064184,879.2783014054054,712.713984,42.09262154732746,74.83257114231972,318.1353494874524,351.3583409918997,346.49292615972956,37.0,248.44786554182755,414.1944353089041,0.5998339049546535,849.5197642105263,712.713984,42.09262154732746,78.99152740523951,397.6916061137142,505.69266081775015,498.96786480880974,38.0,357.57870966049984,502.3802945432645,0.7117689796841853,deceptive
1784137616156686800,1784137626156686800,1478.9563817142857,1341.579264,89.44682078807085,65.50156935728408,982.282052155067,1496.6892242382107,1489.932127768452,112.0,1058.319099787672,1170.3573819497383,0.904270025643434,2233.8881072432428,1676.97408,5.938378143606365,58.17768415852945,2212.717611161715,2792.049537923868,2775.456646031171,74.0,1974.2771616747336,2800.598739186889,0.7049482434059564,951.1073581176471,712.713984,84.18524309465492,70.82987234777372,388.020257563294,549.8327218223952,544.3712038659978,51.0,388.79044611887224,474.91097593371563,0.8186596347967678,913.0192213333333,712.713984,42.09262154732746,74.59702307548883,429.9183012863149,469.97180978068354,465.5338016262879,54.0,332.3202536624355,560.7504935929068,0.5926347947251084,943.2979200000001,712.713984,84.18524309465492,71.59586688498244,408.0372288134261,529.0213394729366,523.8324005266225,52.0,374.07457653370403,512.8575492191233,0.7293927467837217,deceptive
1784137617156686800,1784137627156686800,1501.3450378378382,1341.579264,29.815606929356953,66.09743988096089,1030.4821436625757,1585.34019947479,1578.1912909077225,111.0,1121.0048055362581,1222.8904324579298,0.9166845825125246,2105.239296,1676.97408,29.815606929356953,63.69329568358702,2288.9163490615583,3005.8020906617194,2986.484355273969,79.0,2125.4230412116035,2866.9782967343854,0.7413460519155496,969.8089072941177,712.713984,42.09262154732746,70.0294669556155,407.3680730111585,576.8787847626679,572.5742887194996,68.0,407.91490062833725,498.69851688202965,0.8179589207096682,873.0463031351352,712.713984,44.723410394035426,76.08092729408501,372.4287243076412,489.53841670951647,486.17690449667293,74.0,346.155934106625,466.36288876819833,0.7422458828594289,928.2405823098592,712.713984,27.002813822813845,73.11562235864993,417.2200256110225,534.4480427121769,530.9209436508689,71.0,377.91183519365785,526.0574321801806,0.718385126938419,deceptive
1784137618156686800,1784137628156686800,1497.945766054054,1341.579264,35.77872831522834,64.30162346082733,1000.4343217072991,1504.6406230565242,1497.9377949719305,111.0,1063.94158781202,1198.2286146482672,0.8879287097682388,2277.6983566027398,1676.97408,44.723410394035426,65.23129048454346,2554.0428444386766,3451.020860985949,3426.982772487049,73.0,2440.2402528194025,3173.150399321905,0.7690276052912198,1162.5023890285715,733.67616,84.18524309465492,66.99431718841379,930.2809981061196,1277.3073094227668,1268.017678429822,70.0,903.1926601519822,1150.2030169489337,0.7852462972561319,1114.7283182465753,712.713984,84.18524309465492,68.53901886654883,907.6575306943353,1166.2119963075313,1158.127288991738,73.0,824.6364108901563,1143.5347747092683,0.7211292818793477,1251.925649723077,712.713984,84.18524309465492,65.49992431862965,1011.0550158654561,1290.5533865787777,1280.4312429523682,65.0,912.5590511331177,1275.9633534357117,0.7151922104000271,deceptive
1784137619156686800,1784137629156686800,1499.3672797090908,1341.579264,46.166101051907546,64.71763242307779,1038.098031881359,1543.5682460443838,1536.4737019159513,110.0,1091.467574002209,1248.8572036236844,0.8739730778148265,2208.57486336,1341.579264,22.361705197017713,65.20962943479933,2554.720019792062,3506.9792747639144,3483.3915859299987,75.0,2479.8088266662444,3158.870502354726,0.785030226727469,1154.6459768470588,712.713984,79.50828514495187,67.40270408790965,900.0506323099132,1259.3710061627369,1251.8524055849323,85.0,890.5097784873965,1106.2000039107365,0.8050169728251557,1066.7924786086958,712.713984,79.50828514495187,70.34314385691715,840.0373636389658,1071.41294852372,1065.5352994354848,92.0,757.6033613521957,1060.3509409874332,0.7144836035574137,1182.4687714698796,712.713984,79.50828514495187,67.13712430845648,921.91173268561,1163.269502120066,1156.1547502460198,83.0,822.5557532965976,1166.8519623697346,0.7049358271858983,deceptive
1784137620156686800,1784137630156686800,1496.6993663999995,1341.579264,29.815606929356953,63.589936010336835,1009.6968539156984,1461.0909075322434,1454.4545858598826,110.0,1033.147288646056,1226.8980453143488,0.8420808009204619,2168.3274854399997,1341.579264,12.665036571762245,65.38627792319767,2519.956982738959,3503.684711830712,3480.1136800676954,75.0,2477.4792188751308,3103.452069829759,0.7982978834955985,1123.2405595247524,712.713984,95.40994217394226,68.69845583466656,859.7726236485105,1184.0014144873478,1178.0668313272704,101.0,837.2154291184677,1062.0513600452082,0.7883003220134571,1063.6363377777777,712.713984,84.18524309465492,70.09781619034854,799.9394341388911,1013.1665588351551,1008.4430200936418,108.0,716.4169442237774,1011.5233944874587,0.7082554374204934,1172.1706579591837,712.713984,84.18524309465492,68.92275268771739,1018.3197252565601,1332.472936938177,1325.5867257910934,98.0,942.2006494565398,1276.7455086175275,0.7379706003248555,deceptive
1784137621156686800,1784137631156686800,1470.3469165714284,1341.579264,159.01657028990374,62.94763158772424,997.6296675569076,1426.6538448068875,1420.2418649631218,112.0,1008.7966080688105,1217.2487867949771,0.8287513768857209,2161.862309052632,1676.97408,178.8936415761417,61.725072116171354,2452.2875357780163,3406.342170292621,3383.6042999566384,76.0,2408.647647655614,3021.0323684108334,0.7972928965745062,1126.9409148717948,712.713984,84.18524309465492,67.85300291457322,823.02330673086,1139.8892654867093,1134.9653147546892,117.0,806.023429427405,1014.8388258494258,0.7942378719623373,1063.3232825806451,712.713984,84.18524309465492,69.57700403347106,764.5213688481565,969.0788465257093,965.1488561278387,124.0,685.2422238827666,966.5440466709306,0.7089611965879337,1160.5254252743362,712.713984,44.723410394035426,68.65932801831534,975.300747083146,1278.0810989358808,1272.374975585729,113.0,903.7398119639162,1222.3134911542122,0.7393682705003348,deceptive
1784137622156686800,1784137632156686800,1504.7443096216218,1341.579264,43.36815553361012,60.62299069292495,993.6135966925506,1432.4706878073575,1425.9715357684995,111.0,1012.9097371995405,1208.9428816978048,0.8378474719806771,2145.6668356923074,1488.314496,57.24596530436536,61.35488824153323,2554.8872097590265,3561.103180746912,3537.912991178262,78.0,2518.0802076111254,3143.9677706998023,0.8009243068832849,1113.4982743880598,712.713984,84.18524309465492,69.06557947963806,828.7933092731174,1159.3176241050967,1154.9510638658642,134.0,819.7613535537907,1018.7209434391732,0.8046966726592462,1043.4179634125874,712.713984,84.18524309465492,70.8482228001319,750.9734379562933,957.9824535978746,954.6165108997743,143.0,677.3958891967842,947.8869203029644,0.7146378694415093,1138.998234870229,712.713984,84.18524309465492,69.22481600272673,934.2230124115605,1230.9696037545373,1226.225965286047,131.0,870.4269542493506,1169.0696012200303,0.7445467347204828,deceptive
1784137623156686800,1784137633156686800,1539.943559111111,1341.579264,19.877071286237967,60.059094110065736,1020.6206449985513,1454.8618938004074,1448.1281398690019,108.0,1028.742710796171,1246.6664427529886,0.825194836017579,2159.9208361558444,1341.579264,6.142270955404007,64.9455732736628,2677.425820026191,3609.232641249288,3586.9894220838846,77.0,2552.112875507205,3328.750212740664,0.7666880097338306,1114.5603239183674,712.713984,89.44682078807085,69.19929562034109,825.4325658450241,1156.8805398643094,1152.9118485253316,147.0,818.0380747608071,1013.9451147058288,0.8067873328608529,1036.0555488,712.713984,31.11193766541595,70.83330929742274,722.3717648692591,915.4539089774472,912.5760677526282,160.0,647.3236669016853,913.3060650708142,0.7087697012627354,1137.7803306666667,712.713984,43.36815553361012,69.22414542481351,916.9443292617312,1221.4850558296587,1217.215674857259,144.0,863.7203660951802,1143.92629593287,0.7550489652751776,deceptive
1784137624156686800,1784137634156686800,1535.5283690467293,1341.579264,35.77872831522834,61.38777348899485,1021.3878510578518,1448.7034766791444,1441.9093235748062,107.0,1024.3880522883505,1249.712304389131,0.8196991008975296,1972.4409417142854,1341.579264,43.36815553361012,69.74276828217727,2485.573721164006,3497.4585581759893,3477.173419966755,84.0,2473.076663405167,3049.278497471583,0.8110366650523414,1111.845145945946,712.713984,65.05223330041517,69.13763195160185,819.9359201504473,1148.656195060863,1144.7665500495718,148.0,812.2225847794739,1007.3415819338525,0.8063030449117397,1037.1036576000001,712.713984,84.18524309465492,70.8555928605933,723.2603191077628,937.9091728712135,934.9715174450665,160.0,663.2019362743009,909.006366453357,0.7295899795090501,1146.2234293333333,712.713984,84.18524309465492,69.72891353548283,960.9358948258588,1309.8625774549068,1305.2746033673204,144.0,926.212710940854,1190.7395160047997,0.7778466226169323,deceptive
