Fold,Held-out Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
1,adel,SVM,0.756,0.6470617505100263,0.5930961791831356,0.8595414462081129,0.5905266997287965,0.9474003513394816
1,adel,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
1,adel,MLP,1.0,1.0,1.0,1.0,1.0,1.0
2,adit,SVM,0.9668141592920354,0.9585552094845774,0.9521727742780374,0.9794738693515113,0.9553129615163108,0.9952311860481756
2,adit,RandomForest,0.9977876106194691,0.9987515605493135,0.9955555555555556,0.9982078853046595,0.9971374726653823,0.9981751643161982
2,adit,MLP,0.9911504424778761,0.9886048454469507,0.9886048454469507,0.9946474240133862,0.9886048454469507,0.9966736877274901
3,andi,SVM,0.756,0.6470617505100263,0.5930961791831356,0.8595414462081129,0.5905266997287965,0.9473575841228015
3,andi,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
3,andi,MLP,1.0,1.0,1.0,1.0,1.0,1.0
4,arthur,SVM,0.7282051282051282,0.7642514695146274,0.6541273541273541,0.8360470303364528,0.667285053545136,0.8839837178969695
4,arthur,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
4,arthur,MLP,1.0,1.0,1.0,1.0,1.0,1.0
5,auzan,SVM,0.872,0.8774091006114447,0.8670454545454546,0.9323824266548725,0.8639543837033378,0.9642339639204964
5,auzan,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
5,auzan,MLP,0.996,0.9958847736625515,0.9944444444444445,0.9980392156862745,0.9951284861770796,1.0
6,bowo,SVM,0.5769230769230769,0.5716223211379926,0.5957393121107891,0.7898748739464364,0.5718739207262588,0.7654714569123433
6,bowo,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
6,bowo,MLP,0.9974358974358974,0.9974358974358974,0.9977924944812363,0.9987228607918263,0.9976055790009278,1.0
7,boya,SVM,0.7282051282051282,0.7642514695146274,0.6541273541273541,0.8360470303364528,0.667285053545136,0.883673739264875
7,boya,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
7,boya,MLP,1.0,1.0,1.0,1.0,1.0,1.0
8,cece,SVM,0.8134920634920635,0.7914110835401158,0.8152811227068653,0.9115272671093493,0.7791278106777392,0.9650967823791156
8,cece,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
8,cece,MLP,1.0,1.0,1.0,1.0,1.0,1.0
9,daffa,SVM,0.8134920634920635,0.7914110835401158,0.8152811227068653,0.9115272671093493,0.7791278106777392,0.9650967823791156
9,daffa,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
9,daffa,MLP,1.0,1.0,1.0,1.0,1.0,1.0
10,dani,SVM,0.728,0.5032395919492694,0.5366248693834901,0.8431577888056557,0.5193954968184044,0.6689650256847343
10,dani,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
10,dani,MLP,0.948,0.9643243243243244,0.8521769418321142,0.9679815209665956,0.8895248391156821,0.9915721064947013
11,didin,SVM,0.9429097605893186,0.9025157232704402,0.966916496328261,0.977920227920228,0.9257675354178964,0.9978528733430694
11,didin,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
11,didin,MLP,0.9852670349907919,0.9678714859437751,0.992530345471522,0.9943019943019943,0.9793452146161293,0.9998838671577445
12,dita,SVM,0.756,0.6470617505100263,0.5930961791831356,0.8595414462081129,0.5905266997287965,0.9474166691065241
12,dita,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
12,dita,MLP,0.992,0.9940984462723593,0.983768115942029,0.9951499118165784,0.9887904325609842,0.9999355877616747
