Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
adel,SVM,0.96,0.9047619047619048,0.9710144927536232,0.9851851851851853,0.9292929292929294,1.0
adel,RandomForest,0.98,0.9861111111111112,0.9333333333333332,0.9876543209876543,0.9558707643814026,0.9994632313472893
adel,MLP,0.82,0.7320512820512821,0.7130434782608696,0.9005291005291006,0.717269595176572,0.9544303629810876
adit,SVM,0.989010989010989,0.9791666666666666,0.9938271604938271,0.9956140350877193,0.9861320470304492,1.0
adit,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
adit,MLP,0.989010989010989,0.9791666666666666,0.9938271604938271,0.9956140350877193,0.9861320470304492,1.0
andi,SVM,0.96,0.9047619047619048,0.9710144927536232,0.9851851851851853,0.9292929292929294,1.0
andi,RandomForest,0.98,0.9861111111111112,0.9333333333333332,0.9876543209876543,0.9558707643814026,0.9994632313472893
andi,MLP,0.82,0.7320512820512821,0.7130434782608696,0.9005291005291006,0.717269595176572,0.9544303629810876
arthur,SVM,0.8846153846153846,0.8825806451612904,0.9113060428849903,0.9472222222222223,0.8867542972699697,0.9819606887589344
arthur,RandomForest,0.9102564102564102,0.9278473464519976,0.8801169590643275,0.9444444444444445,0.895924598433559,0.9926088369070825
arthur,MLP,0.8461538461538461,0.8316216216216216,0.8362573099415204,0.9182539682539682,0.8317952996801559,0.9635315139701105
auzan,SVM,0.88,0.8782114624505929,0.8667929292929294,0.9380067816600325,0.8717995169082126,0.984871101550668
auzan,RandomForest,0.94,0.9264957264957264,0.9305555555555555,0.9726522187822497,0.927741935483871,0.9886373409012728
auzan,MLP,0.86,0.8801907968574635,0.8402777777777778,0.9219003390830016,0.8510795622596864,0.9709245540321393
bowo,SVM,0.9487179487179487,0.9555555555555556,0.9555555555555556,0.9743589743589745,0.9523809523809524,0.988049254876178
bowo,RandomForest,0.9487179487179487,0.9555555555555556,0.9555555555555556,0.9743589743589745,0.9523809523809524,0.9942485754985756
bowo,MLP,0.8974358974358975,0.8997424364740706,0.9042735042735043,0.94757326007326,0.9017625187116712,0.9639409379793995
boya,SVM,0.8846153846153846,0.8825806451612904,0.9113060428849903,0.9472222222222223,0.8867542972699697,0.9819606887589344
boya,RandomForest,0.9102564102564102,0.9278473464519976,0.8801169590643275,0.9444444444444445,0.895924598433559,0.9926088369070825
boya,MLP,0.8461538461538461,0.8316216216216216,0.8362573099415204,0.9182539682539682,0.8317952996801559,0.9635315139701105
cece,SVM,0.9803921568627451,0.9629629629629629,0.9833333333333334,0.9922480620155039,0.9718451483157367,1.0
cece,RandomForest,0.9803921568627451,0.9841269841269842,0.9583333333333334,0.989247311827957,0.9696476964769648,1.0
cece,MLP,0.803921568627451,0.8184523809523809,0.7855072463768117,0.8885614260708034,0.7949891067538127,0.9434068144365284
daffa,SVM,0.9803921568627451,0.9629629629629629,0.9833333333333334,0.9922480620155039,0.9718451483157367,1.0
daffa,RandomForest,0.9803921568627451,0.9841269841269842,0.9583333333333334,0.989247311827957,0.9696476964769648,1.0
daffa,MLP,0.803921568627451,0.8184523809523809,0.7855072463768117,0.8885614260708034,0.7949891067538127,0.9434068144365284
dani,SVM,0.88,0.8534798534798534,0.9130434782608695,0.9375661375661375,0.8666666666666667,0.9989264626945786
dani,RandomForest,0.98,0.9861111111111112,0.9333333333333332,0.9876543209876543,0.9558707643814026,1.0
dani,MLP,0.92,0.9441269841269841,0.8898550724637682,0.9519400352733686,0.9113833369152519,0.9886973600741716
didin,SVM,1.0,1.0,1.0,1.0,1.0,1.0
didin,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
didin,MLP,0.926605504587156,0.8794466403162056,0.9629629629629629,0.9713458873400178,0.9099216863922747,0.9925473345686111
dita,SVM,0.96,0.9047619047619048,0.9710144927536232,0.9851851851851853,0.9292929292929294,1.0
dita,RandomForest,0.98,0.9861111111111112,0.9333333333333332,0.9876543209876543,0.9558707643814026,0.9994632313472893
dita,MLP,0.82,0.7320512820512821,0.7130434782608696,0.9005291005291006,0.717269595176572,0.9544303629810876
diva,SVM,0.9803921568627451,0.9629629629629629,0.9833333333333334,0.9922480620155039,0.9718451483157367,1.0
diva,RandomForest,0.9803921568627451,0.9841269841269842,0.9583333333333334,0.989247311827957,0.9696476964769648,1.0
diva,MLP,0.803921568627451,0.8184523809523809,0.7855072463768117,0.8885614260708034,0.7949891067538127,0.9434068144365284
doni,SVM,0.8333333333333334,0.7675782212367578,0.8220026350461133,0.9210434173669468,0.7849111807732498,0.9532948456062268
doni,RandomForest,0.9615384615384616,0.979591836734694,0.9,0.96875,0.9306501547987617,0.9944932864450129
doni,MLP,0.8333333333333334,0.7796451914098973,0.7097496706192358,0.893469887955182,0.7326380564213218,0.9290488230865468
fitri,SVM,0.9803921568627451,0.9629629629629629,0.9833333333333334,0.9922480620155039,0.9718451483157367,1.0
fitri,RandomForest,0.9803921568627451,0.9841269841269842,0.9583333333333334,0.989247311827957,0.9696476964769648,1.0
fitri,MLP,0.803921568627451,0.8184523809523809,0.7855072463768117,0.8885614260708034,0.7949891067538127,0.9434068144365284
gilang,SVM,0.9487179487179487,0.9555555555555556,0.9555555555555556,0.9743589743589745,0.9523809523809524,0.988049254876178
gilang,RandomForest,0.9487179487179487,0.9555555555555556,0.9555555555555556,0.9743589743589745,0.9523809523809524,0.9942485754985756
gilang,MLP,0.8974358974358975,0.8997424364740706,0.9042735042735043,0.94757326007326,0.9017625187116712,0.9639409379793995
kayla,SVM,0.96,0.9047619047619048,0.9710144927536232,0.9851851851851853,0.9292929292929294,1.0
kayla,RandomForest,0.98,0.9861111111111112,0.9333333333333332,0.9876543209876543,0.9558707643814026,0.9994632313472893
kayla,MLP,0.82,0.7320512820512821,0.7130434782608696,0.9005291005291006,0.717269595176572,0.9544303629810876
maul,SVM,1.0,1.0,1.0,1.0,1.0,1.0
maul,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
maul,MLP,0.926605504587156,0.8794466403162056,0.9629629629629629,0.9713458873400178,0.9099216863922747,0.9925473345686111
maun,SVM,0.88,0.8782114624505929,0.8667929292929294,0.9380067816600325,0.8717995169082126,0.984871101550668
maun,RandomForest,0.94,0.9264957264957264,0.9305555555555555,0.9726522187822497,0.927741935483871,0.9886373409012728
maun,MLP,0.86,0.8801907968574635,0.8402777777777778,0.9219003390830016,0.8510795622596864,0.9709245540321393
mira,SVM,0.88,0.8782114624505929,0.8667929292929294,0.9380067816600325,0.8717995169082126,0.984871101550668
mira,RandomForest,0.94,0.9264957264957264,0.9305555555555555,0.9726522187822497,0.927741935483871,0.9886373409012728
mira,MLP,0.86,0.8801907968574635,0.8402777777777778,0.9219003390830016,0.8510795622596864,0.9709245540321393
nisa,SVM,0.88,0.8782114624505929,0.8667929292929294,0.9380067816600325,0.8717995169082126,0.984871101550668
nisa,RandomForest,0.94,0.9264957264957264,0.9305555555555555,0.9726522187822497,0.927741935483871,0.9886373409012728
nisa,MLP,0.86,0.8801907968574635,0.8402777777777778,0.9219003390830016,0.8510795622596864,0.9709245540321393
paula,SVM,0.9803921568627451,0.9629629629629629,0.9833333333333334,0.9922480620155039,0.9718451483157367,1.0
paula,RandomForest,0.9803921568627451,0.9841269841269842,0.9583333333333334,0.989247311827957,0.9696476964769648,1.0
paula,MLP,0.803921568627451,0.8184523809523809,0.7855072463768117,0.8885614260708034,0.7949891067538127,0.9434068144365284
raihan,SVM,1.0,1.0,1.0,1.0,1.0,1.0
raihan,RandomForest,0.9672131147540983,0.9733333333333333,0.9555555555555556,0.9824561403508771,0.9623015873015873,0.996923468090516
raihan,MLP,0.8524590163934426,0.8329020013802623,0.8309178743961353,0.9271548436308161,0.8314885110636171,0.9521484871599287
rina,SVM,0.96,0.9047619047619048,0.9710144927536232,0.9851851851851853,0.9292929292929294,1.0
rina,RandomForest,0.98,0.9861111111111112,0.9333333333333332,0.9876543209876543,0.9558707643814026,0.9994632313472893
rina,MLP,0.82,0.7320512820512821,0.7130434782608696,0.9005291005291006,0.717269595176572,0.9544303629810876
tira,SVM,0.9487179487179487,0.9555555555555556,0.9555555555555556,0.9743589743589745,0.9523809523809524,0.988049254876178
tira,RandomForest,0.9487179487179487,0.9555555555555556,0.9555555555555556,0.9743589743589745,0.9523809523809524,0.9942485754985756
tira,MLP,0.8974358974358975,0.8997424364740706,0.9042735042735043,0.94757326007326,0.9017625187116712,0.9639409379793995
uli,SVM,0.8846153846153846,0.8825806451612904,0.9113060428849903,0.9472222222222223,0.8867542972699697,0.9819606887589344
uli,RandomForest,0.9102564102564102,0.9278473464519976,0.8801169590643275,0.9444444444444445,0.895924598433559,0.9926088369070825
uli,MLP,0.8461538461538461,0.8316216216216216,0.8362573099415204,0.9182539682539682,0.8317952996801559,0.9635315139701105
vina,SVM,0.88,0.8534798534798534,0.9130434782608695,0.9375661375661375,0.8666666666666667,0.9989264626945786
vina,RandomForest,0.98,0.9861111111111112,0.9333333333333332,0.9876543209876543,0.9558707643814026,1.0
vina,MLP,0.92,0.9441269841269841,0.8898550724637682,0.9519400352733686,0.9113833369152519,0.9886973600741716
wibo,SVM,0.8589743589743589,0.8634920634920635,0.8600713012477718,0.9247835497835498,0.8615885855521851,0.9590972752737459
wibo,RandomForest,0.9487179487179487,0.9649122807017544,0.9393939393939394,0.9696969696969697,0.9481481481481481,0.996912401324166
wibo,MLP,0.6923076923076923,0.6581196581196581,0.6791443850267379,0.836038961038961,0.657284192215699,0.8478482302011714
wildan,SVM,0.9873417721518988,0.9791666666666666,0.9920634920634921,0.9947916666666666,0.9852312475709288,1.0
wildan,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
wildan,MLP,0.9620253164556962,0.9777777777777779,0.9333333333333332,0.9729729729729729,0.9514687100893998,1.0
yasmin,SVM,0.989010989010989,0.9791666666666666,0.9938271604938271,0.9956140350877193,0.9861320470304492,1.0
yasmin,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0
yasmin,MLP,0.989010989010989,0.9791666666666666,0.9938271604938271,0.9956140350877193,0.9861320470304492,1.0
